artifact_id,artifact_name,artifact_kind,scope_claim_id,expected_type,expected_kind,expected_base_definition,evidence_mode,example_resource_id,technical_status,clinical_review_status,required_reviewer,review_requirement,decision,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
breast-cancer-case-management-report,BreastCancerCaseManagementReport,profile,TASK-CASE-MGMT,MeasureReport,resource,http://hl7.org/fhir/StructureDefinition/MeasureReport,direct-profile,breast-cancer-case-management-report-example,pass-publisher-synthetic-example,pending-human-signoff,clinical quality and FHIR reviewer,Confirm MeasureReport cardinalities references score semantics and institutional reporting workflow.,,,,,,,
breast-cancer-case-management-task,BreastCancerCaseManagementTask,profile,TASK-CASE-MGMT,Task,resource,http://hl7.org/fhir/StructureDefinition/Task,direct-profile,breast-cancer-case-management-task-example,pass-publisher-synthetic-example,pending-human-signoff,case-management workflow and FHIR reviewer,Confirm patient linkage input slices bindings ownership cardinalities and override audit boundaries.,,,,,,,
breast-cancer-common-facts-bundle,BreastCancerCommonFactsBundle,profile,IG-CORE,Bundle,resource,http://hl7.org/fhir/StructureDefinition/Bundle,direct-profile,breast-cancer-synthetic-scenario,pass-publisher-synthetic-example,pending-human-signoff,FHIR architecture reviewer,Confirm bundle type entry contract provenance boundary and task-neutral common-fact scope.,,,,,,,
breast-cancer-episode-of-care,BreastCancerEpisodeOfCare,profile,IG-CORE,EpisodeOfCare,resource,http://hl7.org/fhir/StructureDefinition/EpisodeOfCare,direct-profile,breast-cancer-episode-example,pass-publisher-synthetic-example,pending-human-signoff,clinical and FHIR reviewer,Confirm episode boundaries diagnosis linkage period semantics and lifecycle use.,,,,,,,
breast-cancer-laboratory-report,BreastCancerLaboratoryReport,profile,IG-CORE,DiagnosticReport,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-diagnostic-report,direct-profile,breast-cancer-laboratory-report-example,pass-publisher-synthetic-example,pending-human-signoff,laboratory and FHIR reviewer,Confirm report category code subject result specimen and source-document semantics.,,,,,,,
breast-cancer-medication-administration,BreastCancerMedicationAdministration,profile,IG-CORE,MedicationAdministration,resource,http://hl7.org/fhir/StructureDefinition/MedicationAdministration,direct-profile,breast-cancer-medication-administration-example,pass-publisher-synthetic-example,pending-human-signoff,oncology pharmacy and FHIR reviewer,Confirm actual-administration status medication subject effective time performer request linkage and order-not-delivery boundary.,,,,,,,
breast-cancer-medication-request,BreastCancerMedicationRequest,profile,IG-CORE,MedicationRequest,resource,http://hl7.org/fhir/StructureDefinition/MedicationRequest,direct-profile,breast-cancer-medication-request-example,pass-publisher-synthetic-example,pending-human-signoff,oncology pharmacy and FHIR reviewer,Confirm medication intent subject timing requester and regimen representation.,,,,,,,
breast-cancer-pathology-report,BreastCancerPathologyReport,profile,IG-CORE,DiagnosticReport,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-diagnostic-report,direct-profile,breast-cancer-pathology-report-example,pass-publisher-synthetic-example,pending-human-signoff,pathology and FHIR reviewer,Confirm pathology report specimen result category and source-document semantics.,,,,,,,
breast-cancer-pathology-specimen,BreastCancerPathologySpecimen,profile,IG-CORE,Specimen,resource,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-source-specimen,direct-profile,breast-cancer-pathology-specimen-example,pass-publisher-synthetic-example,pending-human-signoff,pathology and FHIR reviewer,Confirm specimen type collection received-time and subject semantics.,,,,,,,
breast-cancer-patient,BreastCancerPatient,profile,IG-CORE,Patient,resource,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Patient-twcore,direct-profile,breast-cancer-patient-example,pass-publisher-synthetic-example,pending-human-signoff,TW Core and privacy reviewer,Confirm direct TW Core parent identifier demographics deceased handling and privacy minimum.,,,,,,,
