fact_id,acquisition_batch,batch_rank,work_package_id,proposed_primary_owner_role,required_co_reviewer_roles,priority,fact_name,indicator_family,affected_measure_ids,affected_criterion_ids,fhir_target,acquisition_question,required_source_artifacts,acceptance_evidence,assignment_status,confirmed_owner_name,confirmed_owner_organization_title,assignment_date,assignment_evidence_uri_path,signed_assignment_sha256,notes
CM-BC-001,B1-cohort-rate,1,WP-01-PATIENT-ADMIN,patient administration / health-information-management source owner,case-management owner; privacy/data-governance reviewer,P0,patient age at case entry,both,bc-qi-06 bc-qr-14,S14-AGEBAND X6-AGE-NODE-DEF X6-AGE-PRACTICE,BreastCancerPatient::Patient.birthDate,Identify the authoritative system/artifact/element and version for patient age at case entry; resolve: indicator 6 age exclusion cannot be evaluated | 季報：age band distribution cannot be reported,MPI/ADT schema or API specification; birth sex and death field dictionary; patient merge and identifier rule; event timezone; extract query and version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-002,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,case entry episode,both,bc-qi-00 bc-qr-00 bc-qr-11 bc-qr-14,IP-CASELOAD IP-QUARTER S11-MONTH S14-AGEBAND,BreastCancerEpisodeOfCare::EpisodeOfCare.period.start,Identify the authoritative system/artifact/element and version for case entry episode; resolve: cases cannot be assigned to a reporting quarter | 季報：cases cannot be assigned to a reporting period,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-003,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,primary breast cancer diagnosis,both,bc-qi-00,IP-CLASS,BreastCancerPrimaryCondition::Condition.code|Condition.onsetDateTime,Identify the authoritative system/artifact/element and version for primary breast cancer diagnosis; resolve: bilateral cases cannot be separated from duplicate rows,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-004,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,clinical stage group,both,bc-qi-01 bc-qi-02 bc-qi-03 bc-qi-04 bc-qi-05 bc-qi-06 bc-qr-16,D1-STAGE D2-STAGE D5-STAGE S16-STAGE X3-STAGE4 X4-STAGE4 X5-INSITU-STAGE4 X6-STAGE4,BreastCancerStageGroupObservation::Observation.valueCodeableConcept|Observation.method,Identify the authoritative system/artifact/element and version for clinical stage group; resolve: stage-based denominators cannot be evaluated | 季報：stage distribution cannot be reported,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-005,B0-result-blockers,0,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,pathological stage group,both,bc-qi-01 bc-qi-03 bc-qi-04 bc-qi-05 bc-qi-06 bc-qr-16,D1-STAGE D3-STAGE D5-STAGE D6-INVASIVE S16-STAGE X3-STAGE4 X4-STAGE4 X5-INSITU-STAGE4 X6-STAGE4,BreastCancerStageGroupObservation::Observation.valueCodeableConcept|Observation.method,Identify the authoritative system/artifact/element and version for pathological stage group; resolve: indicator 6 invasive-disease criterion falls back to clinical stage | 季報：stage provenance is lost,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-006,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,pathological regional nodes category,quality,bc-qi-02 bc-qi-03 bc-qi-04 bc-qi-06,D2-NODE D3-NODE D4-NODE X6-AGE-NODE-DEF X6-NODE-PRACTICE,BreastCancerStageGroupObservation::Observation.valueCodeableConcept,Identify the authoritative system/artifact/element and version for pathological regional nodes category; resolve: node-based denominators and exclusions cannot be evaluated,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-007,B1-cohort-rate,1,WP-02-REGISTRY-STAGING,cancer-registry / staging source owner,oncology clinical owner; pathology reviewer; terminology reviewer,P0,pathological primary tumour category,both,bc-qi-06 bc-qr-17 bc-qr-18,D6-INVASIVE S17-HISTOLOGY S18-SUBTYPE,BreastCancerStageGroupObservation::Observation.valueCodeableConcept,Identify the authoritative system/artifact/element and version for pathological primary tumour category; resolve: invasive-disease and quarterly subtype criteria cannot distinguish Tis from T1mi,registry and staging schema; case-entry and diagnosis fields; AJCC edition and method; case and episode identity rules; prior-year cohort query; late-update duplicate and null rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-008,B1-cohort-rate,1,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P0,estrogen receptor result,both,bc-qi-01 bc-qr-18,D1-ER S18-SUBTYPE X1-ER-LOW,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%}|Observation.interpretation|Observation.dataAbsentReason,Identify the authoritative system/artifact/element and version for estrogen receptor result; resolve: indicator 1 denominator cannot separate the 1-9% exclusion band | 季報：subtype distribution depends on a manually typed letter with no audit trail,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
CM-BC-009,B3-stratifiers,3,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P1,progesterone receptor result,quarterly,bc-qr-18,S18-SUBTYPE,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%}|Observation.interpretation,Identify the authoritative system/artifact/element and version for progesterone receptor result; resolve: molecular subtype cannot be derived,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; bucket-level golden-cohort distribution comparison,unassigned,,,,,,
CM-BC-010,B0-result-blockers,0,WP-03-PATHOLOGY,pathology / laboratory-information-system source owner,pathology clinical owner; cancer-registry owner; terminology reviewer,P0,HER2 immunohistochemistry result,both,bc-qi-04 bc-qr-18,D4-HER2 S18-SUBTYPE,BreastCancerTumorMarkerObservation::Observation.valueCodeableConcept,Identify the authoritative system/artifact/element and version for HER2 immunohistochemistry result; resolve: indicator 4 and quarterly HR/HER2 subtype cannot be calculated,LIS/pathology schema; accession specimen and report linkage; effective final and corrected timestamps; ER PR HER2 Ki-67 and histology code dictionaries; pending null correction and derivation rules; source version,approved source contract; source-to-FHIR case trace; explicit null/time/unit rules; independent recalculation and golden-cohort comparison,unassigned,,,,,,
