criterion_id,measure_id,indicator_family,population_type,variant,normative_rule,cql_evidence,cql_alignment,legacy_python_status,source_approval,workflow_contract,difference_classes,known_difference,publication_disposition,required_resolution
IP-CLASS,bc-qi-00,quality,initial-population,both,個管師收案名單中具有乳癌診斷且 Class 分類為 1 或 2 的個案,task-layer-only,task-layer-only,task-layer,0/2-facts-approved,dedicated-task-profile-present-pending-approval,legacy-task-layer; task-layer-only,Class 1/2 and breast-cancer membership are assumed when the evaluation Group is assembled; this repository has no executable Group-assembly rule.,blocked-for-production-publication,"Implement and test the Group-assembly contract, then obtain cohort-owner approval. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
IP-QUARTER,bc-qi-00,quality,initial-population,both,收案日期落在報告季別內,Reporting Episode|Initial Population,aligned-to-current-draft,task-layer,0/2-facts-approved,not-applicable,legacy-task-layer,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D1-STAGE,bc-qi-01,quality,denominator,both,病理期別為 I-III；病理期別不存在時採臨床期別,Denominator 1,aligned-to-current-draft,implemented,0/2-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D1-ER,bc-qi-01,quality,denominator-exclusion,both,ER < 10% 或未取得——與 X1-ER-LOW 同由 Denominator 1 Exclusion 表達,Denominator 1 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,Current source/report proxy: ER recorded as free text such as >95 or 僅RT; parsed by taking the first integer,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-ER-LOW,bc-qi-01,quality,denominator-exclusion,both,ER 介於 1-9% 或染色遺失,Denominator 1 Exclusion,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,source-proxy-replacement,"Current source/report proxy: unparseable ER strings are dropped by the rule and separately struck out by the team, reaching the same set by two routes",blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
X1-TEAM,bc-qi-01,quality,denominator-exclusion,both,團隊決議排除(僅來本院放療、外院資料不足、轉院未追蹤等),task-layer-only,task-layer-only,task-layer,0/1-facts-approved,dedicated-task-profile-present-pending-approval,legacy-task-layer; task-layer-only,The multidisciplinary exclusion is intentionally absent from CQL and must be applied as a reasoned case-level decision.,blocked-for-production-publication,"Define the Task/MeasureReport override contract and reconcile every excluded case. | Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
N1-HT,bc-qi-01,quality,numerator,both,分母中給予賀爾蒙治療者,Numerator 1,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D2-STAGE,bc-qi-02,quality,denominator,both,臨床期別 I-II,Denominator 2,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D2-NODE,bc-qi-02,quality,denominator,both,最終病理腋下淋巴結為陰性(含 0(i-) 0(i+)),Denominator 2,aligned-to-current-draft,implemented,0/1-facts-approved,not-applicable,none-known-against-current-draft,No implementation difference identified against the current draft; clinical meaning and real-data correctness remain unapproved.,blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
D2-SURGERY-FIRST,bc-qi-02,quality,denominator,both,以手術為首次治療：手術日期早於賀爾蒙、化學或標靶治療開始日期,Denominator 2,aligned-to-current-draft,implemented,0/4-facts-approved,not-applicable,proxy-in-use; source-proxy-replacement,Current source/report proxy: no treatment dates exist; approximated by 抗癌治療 category not equal to 1 (not neoadjuvant),blocked-for-production-publication,"Approve every dependent source fact and its null, time, unit, transformation, and provenance semantics. | Obtain criterion owner sign-off and pass independent recalculation plus end-to-end golden-cohort reconciliation."
