Mapping Rule ID,QBC Tag,QBC 中文名稱,Source specification,Source SHA-256,Source condition,Source cardinality,Source datatype,Current bridge input,Target source evidence,Canonical fact,Projection role,Target Resource,Target Element,Target datatype,Target cardinality,Target profile canonical,Target profile version,Semantic alignment canonical,Semantic alignment version,Terminology/ConceptMap,Map relationship,Transform rule,Null handling,Repeat handling,Information-loss policy,Round-trip policy,Technical status,Approval gates,Release status
QBC-MAP-HOSPID,HOSPID,醫事機構代碼,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,string,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Organization,Organization.identifier,Identifier,0..*,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Organization-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-ID,ID,個案身份證號,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,string,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Patient,Patient.identifier,Identifier,1..*,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-patient,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-BIRTHDAY,BIRTHDAY,個案出生年月日,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,date,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Patient,Patient.birthDate,date,1..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-patient,1.0.0-preview.1,,,FHIR date/dateTime; YYYYMMDD → YYYY-MM-DD; timezone not inferred,equivalent,parse YYYYMMDD as FHIR date/dateTime; reject invalid calendar dates,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-DIAG_TYPE,DIAG_TYPE,收案類別,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,code,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,EpisodeOfCare,EpisodeOfCare.extension[qbc-enrollment-type],CodeableConcept,0..1,http://hl7.org/fhir/StructureDefinition/EpisodeOfCare,4.0.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-EXTENSIONS,ready-for-human-review
QBC-MAP-LATERALITY,LATERALITY,側性(患部),11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,code,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Condition,Condition.bodySite,CodeableConcept,0..*,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Condition-twcore,1.0.0,,,QBCLateralityToSNOMEDCT; L/R → SNOMED CT 7771000/24028007,equivalent,"translate(LATERALITY, QBCLateralityToSNOMEDCT)",reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P01,P01,個案姓名,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,string,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Patient,Patient.name,HumanName,0..*,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-patient,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P02,P02,個案性別,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,code,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Patient,Patient.gender,code,0..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-patient,1.0.0-preview.1,,,QBCGenderToFHIRAdministrativeGender; QBC 0/1/2/3 → male/female/other/unknown,equivalent,"translate(P02, QBCGenderToFHIRAdministrativeGender)",reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P03,P03,身高,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,decimal,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,1..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Observation-body-height-twcore,1.0.0,,,LOINC 8302-2|29463-7 + UCUM cm|kg; decimal → Quantity,equivalent,parse decimal; set UCUM system and code 'cm',reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P04,P04,體重,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,decimal,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,1..1,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Observation-body-weight-twcore,1.0.0,,,LOINC 8302-2|29463-7 + UCUM cm|kg; decimal → Quantity,equivalent,parse decimal; set UCUM system and code 'kg',reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P05,P05,是否已停經,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,code,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueCodeableConcept,CodeableConcept,1..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P06,P06,停經年齡,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,source value exists,0..1,integer,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Observation,Observation.valueQuantity,Quantity,1..1,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/qbc-quantity-data-item-observation,1.0.0-preview.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P07,P07,主責醫師身份證字號,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,string,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,Practitioner,Practitioner.identifier,Identifier,0..*,https://twcore.mohw.gov.tw/ig/twcore/StructureDefinition/Practitioner-twcore,1.0.0,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,copy after Big5/max-length validation; preserve exact source in Provenance,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,none,technically-ready
QBC-MAP-P08,P08,個案分類,11507 定版,f63be9eae07c552af4f03e9771e48bcda1c5b4eb14c36ae6291c1fc0fb4e069d,true,1..1,code,癌症診療計畫書／病人、醫師或個管主檔,"patient/master data, clinical assessment or encounter source",Patient / EpisodeOfCare / Condition / Observation,derived projection to QBC; plan and QBC are not source-of-truth facts,EpisodeOfCare,EpisodeOfCare.extension[qbc-case-class],CodeableConcept,0..1,http://hl7.org/fhir/StructureDefinition/EpisodeOfCare,4.0.1,,,QBC field-specific ValueSet or source terminology; copy or field-specific ConceptMap; raw QBC value retained in Provenance,equivalent,validate against QBC field ValueSet; translate when ConceptMap exists; preserve raw code,reject missing when condition is true; otherwise omit target element; never invent a value,create one target item per source repetition; multi-select values are separate codings unless profile requires one CodeableConcept,lossless with raw QBC value retained in Provenance,QBC export MUST use retained raw value plus validated canonical value; fail closed if they disagree,implemented-and-tested,FHIR-EXTENSIONS,ready-for-human-review
