measure_id,indicator_family,measure_kind,core_indicator,title_zh,scoring,improvement_notation,reporting_unit,threshold_owner,threshold_2026,reference_result,fhir_artifacts,status
bc-qi-01,quality,rate,no,侵犯性乳癌病人(第1~3期)ER陽性給予賀爾蒙治療的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=97,77/77,Measure + Library(CQL) + MeasureReport,draft
bc-qi-02,quality,rate,yes (core 1),臨床第1、2期乳癌以手術為首次治療且最終病理腋下淋巴結陰性者施行哨兵淋巴結取樣術的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=96.2,45/45,Measure + Library(CQL) + MeasureReport,draft
bc-qi-03,quality,rate,yes (core 2),接受乳房全切除手術且腋下淋巴結陽性>=4顆有進行放射治療的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=89,4/4,Measure + Library(CQL) + MeasureReport,draft
bc-qi-04,quality,rate,yes (core 3),HER2陽性且淋巴轉移之手術病人給予anti HER2藥物治療的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=94.5,5/5,Measure + Library(CQL) + MeasureReport,draft
bc-qi-05,quality,rate,no,乳癌病人在手術進行前曾經組織學確診的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=97,94/94,Measure + Library(CQL) + MeasureReport,draft
bc-qi-06,quality,rate,no,病理分期侵犯性乳癌乳房保留手術後放射線治療的比率,proportion,increase,multidisciplinary team,multidisciplinary team,>=82.5,14/15,Measure + Library(CQL) + MeasureReport,draft-with-open-ambiguity
bc-qr-01,quarterly,rate,n/a,留院治療率,proportion,increase,case manager,n/a,n/a,157/177 = 88.70%,Measure + Library(CQL) + MeasureReport,draft
bc-qr-02,quarterly,rate,n/a,留院治療率(臺大體系內矯正後),proportion,increase,case manager,n/a,n/a,173/177 = 97.74%,Measure + Library(CQL) + MeasureReport,draft
bc-qr-03,quarterly,rate,n/a,完成治療率,proportion,increase,case manager,n/a,n/a,56/59 = 94.92%,Measure + Library(CQL) + MeasureReport,draft
bc-qr-04,quarterly,rate,n/a,失聯率,proportion,decrease,case manager,n/a,n/a,not calculated (needs prior-year cohort),Measure + Library(CQL) + MeasureReport,blocked-data-gap
bc-qr-05,quarterly,rate,n/a,重返治療率,proportion,increase,case manager,n/a,n/a,0/3 = 0%,Measure + Library(CQL) + MeasureReport,draft
bc-qr-10,quarterly,cohort,n/a,全部收案量(依收案身份),cohort,n/a,case manager,n/a,n/a,207 cases; 新診斷 201,Measure with stratifier + MeasureReport,draft
bc-qr-11,quarterly,cohort,n/a,新診斷收案量(依月份),cohort,n/a,case manager,n/a,n/a,201 across 6 months,Measure with stratifier + MeasureReport,draft
bc-qr-12,quarterly,cohort,n/a,新診斷動態(依收案狀態),cohort,n/a,case manager,n/a,n/a,201; 治療期 76 追蹤期 53 結案 41 診斷期 24,Measure with stratifier + MeasureReport,draft
bc-qr-13,quarterly,cohort,n/a,新診斷結案量(依結案原因),cohort,n/a,case manager,n/a,n/a,41; all 轉院,Measure with stratifier + MeasureReport,draft
bc-qr-14,quarterly,cohort,n/a,新診斷個案性別與年齡層分布,cohort,n/a,case manager,n/a,n/a,201; F 199 M 2,Measure with stratifier + MeasureReport,draft
bc-qr-15,quarterly,cohort,n/a,新診斷個案 Class 分類分布,cohort,n/a,case manager,n/a,n/a,199 classified + 2 class3,Measure with stratifier + MeasureReport,draft
bc-qr-16,quarterly,cohort,n/a,新診斷個案分期分布,cohort,n/a,case manager,n/a,n/a,201; 診斷中 24 其它 17,Measure with stratifier + MeasureReport,draft
bc-qr-17,quarterly,cohort,n/a,侵襲癌組織類型分布,cohort,n/a,case manager,n/a,n/a,169 invasive of 201,Measure with stratifier + MeasureReport,draft
bc-qr-18,quarterly,cohort,n/a,侵襲癌 HR/HER2 分型分布,cohort,n/a,case manager,n/a,n/a,169 invasive; 無法判斷 41,Measure with stratifier + MeasureReport,draft
