measure_id,indicator_family,fhir_conformance,cql_execution,draft_definition_alignment,terminology_evidence,raw_source_mapping,independent_recalculation,golden_cohort,current_verdict,blocking_issue,required_approval
bc-qi-01,quality,pass,pass-synthetic,aligned-to-draft,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"raw ER/stage/treatment provenance; terminology; independent and end-to-end truth evidence",clinical owner; terminology reviewer; source owner
bc-qi-02,quality,pass,pass-synthetic,aligned-to-draft-with-source-proxy,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"surgery and systemic-treatment dates replace the current category proxy; terminology; truth evidence",clinical owner; terminology reviewer; source owner
bc-qi-03,quality,pass,pass-synthetic,known-incomplete,clinical-valuesets-empty,missing,missing,missing,known-incomplete-not-releaseable,"N3-DOSE requires delivered clinical-target-volume dose >=4000 cGy but no governed source/profile supplies it",radiation-oncology owner; FHIR owner; source owner
bc-qi-04,quality,pass,pass-synthetic,open-source-case-and-proxy,clinical-valuesets-empty,missing,missing,missing,definition-and-data-open,"one counted denominator case conflicts with surgery evidence; HER2 IHC/ISH are replaced by a hand-entered subtype proxy",clinical owner; pathology/terminology reviewer; source owner
bc-qi-05,quality,pass,pass-synthetic,aligned-to-draft-with-proxy-and-override,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"biopsy/report/surgery dates are absent and ADH add-backs require governed case-level override evidence",clinical owner; pathology reviewer; source owner
bc-qi-06,quality,pass,pass-synthetic-unresolved-variant,unresolved-definition-versus-practice,clinical-valuesets-empty,missing,missing,missing,definition-open,"written age-and-node exclusion conflicts with historical separate exclusions; pathological invasive status and external-site RT evidence are incomplete",cancer-committee owner; clinical owner; source owner
bc-qr-01,quarterly,pass,pass-synthetic,aligned-to-draft,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"staging/death/transfer/refusal inputs are partly manual and have no raw-source provenance or golden reconciliation",case-management owner; source owner
bc-qr-02,quarterly,pass,pass-synthetic,governed-organization-root-pending,clinical-valuesets-empty,missing,missing,missing,governance-open,"the Organization.partOf root defining an in-system transfer is not yet governed",case-management owner; organization-master-data owner
bc-qr-03,quarterly,pass,pass-synthetic,aligned-to-draft,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"curative intent/completion and treatment-event classifications are partly manual and lack raw-source truth evidence",case-management owner; clinical owner; source owner
bc-qr-04,quarterly,pass,pass-synthetic-conditional,aligned-only-when-full-cohort-supplied,not-applicable,missing,missing,missing,data-contract-blocked,"the prior-year plus current-period cohort and last-contact history are unavailable in a single-period export",case-management owner; data-warehouse owner
bc-qr-05,quarterly,pass,pass-synthetic-candidate,candidate-definition-only,clinical-valuesets-empty,missing,missing,missing,candidate-not-releaseable,"refusal/interruption event, treatment intent and qualifying treatment resumption need owner adjudication and a truth set",case-management owner; clinical owner; source owner
bc-qr-10,quarterly,pass,pass-synthetic,aligned-to-draft,admin-codes-enumerated-owner-approval-pending,missing,missing,missing,not-clinically-release-ready,"source field/value provenance and case-management owner approval are absent",case-management owner; source owner
bc-qr-11,quarterly,pass,pass-synthetic,aligned-to-draft,not-applicable,missing,missing,missing,not-clinically-release-ready,"case-entry date semantics/timezone and raw-source provenance are not approved",case-management owner; source owner
bc-qr-12,quarterly,pass,pass-synthetic,aligned-to-draft,admin-codes-enumerated-owner-approval-pending,missing,missing,missing,not-clinically-release-ready,"manual staging override must preserve original value/reason and the status value set needs owner approval",case-management owner; source owner
bc-qr-13,quarterly,pass,pass-synthetic,aligned-to-draft,admin-codes-enumerated-owner-approval-pending,missing,missing,missing,not-clinically-release-ready,"closure classifications mix clinical facts and human judgment and need source/owner approval",case-management owner; source owner
bc-qr-14,quarterly,pass,pass-synthetic,aligned-to-draft,not-applicable,missing,missing,missing,not-clinically-release-ready,"birth-date/administrative-sex provenance and age-at-entry boundary reconciliation are absent",case-management owner; source owner
bc-qr-15,quarterly,pass,pass-synthetic,aligned-to-draft,admin-codes-enumerated-owner-approval-pending,missing,missing,missing,not-clinically-release-ready,"Class 3 is currently recovered from free text; owner-approved structured input and reconciliation are absent",case-management owner; source owner
bc-qr-16,quarterly,pass,pass-synthetic,aligned-to-current-six-bucket-draft,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"stage provenance/method and 24 manually resolved cases require governed source evidence and truth review",cancer-registry owner; terminology reviewer; source owner
bc-qr-17,quarterly,pass,pass-synthetic,contradiction-10-groups-versus-source-11,clinical-valuesets-empty,missing,missing,missing,definition-contradiction-blocked,"current S17/CQL enumerate 10 groups while source documentation says 11; missing or extra group is unidentified",pathology owner; case-management owner; terminology reviewer
bc-qr-18,quarterly,pass,pass-synthetic,aligned-to-current-five-bucket-draft,clinical-valuesets-empty,missing,missing,missing,not-clinically-release-ready,"ER/PR/HER2 assay terminology and raw results are absent; current report uses a hand-entered subtype letter",pathology owner; terminology reviewer; source owner
