measure_id,indicator_family,population_type,criterion_id,variant,criterion_zh,fhir_expression,depends_on_mapping,current_proxy,proxy_removed_by_fhir,cql_status,python_status,review_status,python_divergence
bc-qi-00,quality,initial-population,IP-CLASS,both,個管師收案名單中 Class 分類為 1 或 2 的個案,task-only case list; not derivable from clinical resources,CM-TASK-001,none,no,drafted,task-layer,design,
bc-qi-00,quality,initial-population,IP-QUARTER,both,收案日期落在報告季別內,EpisodeOfCare.period.start within the reporting period,CM-BC-002,none,no,drafted,task-layer,design,
bc-qi-01,quality,denominator,D1-STAGE,both,病理期別為 I-III；病理期別不存在時採臨床期別,"stage group observation where method indicates pathological, else clinical",CM-BC-004 CM-BC-005,none,no,drafted,implemented,design,
bc-qi-01,quality,denominator-exclusion,D1-ER,both,ER < 10% 或未取得——與 X1-ER-LOW 同由 Denominator 1 Exclusion 表達,Observation.valueQuantity >= 10 '%',CM-BC-008,ER recorded as free text such as >95 or 僅RT; parsed by taking the first integer,yes,drafted,implemented,design,
bc-qi-01,quality,denominator-exclusion,X1-ER-LOW,both,ER 介於 1-9% 或染色遺失,Observation.valueQuantity < 10 '%' or Observation.dataAbsentReason present,CM-BC-008,"unparseable ER strings are dropped by the rule and separately struck out by the team, reaching the same set by two routes",yes,drafted,implemented,design,
bc-qi-01,quality,denominator-exclusion,X1-TEAM,both,團隊決議排除(僅來本院放療、外院資料不足、轉院未追蹤等),task-only exclusion register,CM-TASK-010,none,no,not-applicable,task-layer,design,
bc-qi-01,quality,numerator,N1-HT,both,分母中給予賀爾蒙治療者,MedicationRequest for hormone therapy exists,CM-BC-020,none,no,drafted,implemented,design,
bc-qi-02,quality,denominator,D2-STAGE,both,臨床期別 I-II,clinical stage group observation in I IA IB II IIA IIB,CM-BC-004,none,no,drafted,implemented,design,
bc-qi-02,quality,denominator,D2-NODE,both,最終病理腋下淋巴結為陰性(含 0(i-) 0(i+)),pathological N category in N0 N0(i-) N0(i+),CM-BC-006,none,no,drafted,implemented,design,
bc-qi-02,quality,denominator,D2-SURGERY-FIRST,both,以手術為首次治療：手術日期早於賀爾蒙、化學或標靶治療開始日期,Procedure.performedDateTime < earliest MedicationRequest.authoredOn among hormone chemo and targeted therapy,CM-BC-017 CM-BC-020 CM-BC-021 CM-BC-022,no treatment dates exist; approximated by 抗癌治療 category not equal to 1 (not neoadjuvant),yes,drafted,implemented,proxy-in-use,
bc-qi-02,quality,numerator,N2-SLNB,both,分母中施行哨兵淋巴結取樣術者,Procedure with sentinel lymph node biopsy code exists,CM-BC-016,none,no,drafted,implemented,design,
bc-qi-03,quality,denominator,D3-NODE,both,腋下淋巴結陽性 >= 4 顆(病理 N2 以上),pathological N category N2 or higher,CM-BC-006,none,no,drafted,implemented,design,
bc-qi-03,quality,denominator,D3-MASTECTOMY,both,接受乳房全切除手術(MRM、SM 或 NSM),Procedure with total mastectomy code exists,CM-BC-015,none,no,drafted,implemented,design,
bc-qi-03,quality,denominator,D3-STAGE,both,病理期別 I-III,pathological stage group observation in I-III,CM-BC-005,none,no,drafted,implemented,design,
bc-qi-03,quality,denominator-exclusion,X3-STAGE4,both,排除臨床或病理期別 IV,stage group observation equals IV,CM-BC-004 CM-BC-005,none,no,drafted,implemented,design,
bc-qi-03,quality,numerator,N3-RT,both,分母中有進行放射治療者,completed radiotherapy Procedure exists,CM-BC-023,none,no,drafted,implemented,design,
bc-qi-03,quality,numerator,N3-DOSE,both,放射線治療最高放射劑量臨床標靶體積劑量 >= 4000 cGy,RadiotherapyCourseSummary.totalDoseDelivered >= 4000 cGy,CM-BC-024,no dose is recorded anywhere; the criterion is not evaluated at all today,yes,drafted,not-evaluable,blocking-data-gap,
bc-qi-04,quality,denominator,D4-SURGERY,both,乳癌有手術者,completed breast surgery Procedure exists,CM-BC-014,one 2026Q1 denominator case has 手術=0 in the worksheet yet is counted; needs review,no,drafted,not-implemented,open-question,5/5 -> 3/3
bc-qi-04,quality,denominator,D4-HER2,both,術後 HER-2 為 3+，或 2+ 且術後 FISH 為 positive,HER2 IHC observation equals 3+ or (equals 2+ and HER2 ISH observation positive),CM-BC-010 CM-BC-011,no HER-2 or FISH value is recorded; approximated by molecular subtype in B2 or H,yes,drafted,implemented,proxy-in-use,
