Gate ID,Category,Proposed decision,Required signer,Status,Acceptance evidence,Decision (approve/reject/revise),Signer name,Signer organization/title,Decision date,Evidence URI/path,Signed artifact SHA-256,Notes
QBC-TM02-SURGERY-POSTOP-REQUIRED,QBC business rule,"D027-D057 mandatory when TM02=1 and DIAG_TYPE in (1,2), field-specific conditions override",QBC申報負責人,pending-human-signoff,official clarification or signed institutional decision + positive/negative UAT,,,,,,,
QBC-DIAGTYPE3-RECURRENCE-REQUIRED,QBC business rule,"D058-D085 mandatory for DIAG_TYPE=3, field-specific conditions override",QBC申報負責人,pending-human-signoff,signed decision + recurrence golden/negative cases,,,,,,,
QBC-XML-TABLE1-CLOSING-TAGS,source interpretation,Use well-formed XML and table-2 field definitions instead of malformed table-1 sample tags,QBC申報負責人,pending-human-signoff,VPN test receipt for generated XML,,,,,,,
QBC-FAQ-PREOP-HORMONE-3D-DIRECT-SURGERY,clinical classification,Three days of preoperative hormone therapy remains DIAG_TYPE=1,乳癌臨床專家,pending-human-signoff,signed clinical decision and sample case,,,,,,,
FHIR-MCODE-SCOPE,FHIR architecture,mCODE is semantic alignment only; no dual-conformance claim with TW Core,FHIR實作負責人,pending-human-signoff,signed architecture decision; validate all cited canonical URLs against mCODE 4.0.0,,,,,,,
FHIR-EXTENSIONS,FHIR architecture,"Approve contexts, datatypes and canonical URLs of QBC extensions",FHIR實作負責人,pending-human-signoff,Publisher QA=0/0 and reviewed examples,,,,,,,
TERM-PR,terminology,Use LOINC 85339-0 for PR presence and 85325-9 for percentage when immune stain is confirmed,病理／術語專家,pending-human-signoff,local LIS assay mapping and terminology license review,,,,,,,
TERM-HER2-FISH,terminology,Use LOINC 85318-4 for breast specimen FISH; otherwise 31150-6 only when tissue FISH is confirmed,病理／術語專家,pending-human-signoff,local LIS specimen/method verification,,,,,,,
TERM-PDL1,terminology,Do not assign an assay-specific LOINC without clone/assay/CPS/TPS; preserve raw QBC result,病理／術語專家,pending-human-signoff,"local LIS captures clone, scoring method and threshold",,,,,,,
GOV-AJCC,license/version governance,Store AJCC edition and approve permitted use; QBC coarse stage remains source of truth for export,癌登／法遵負責人,pending-human-signoff,edition decision and license evidence,,,,,,,
GOV-SNOMED-DRUG,license/terminology governance,Approve SNOMED CT and local drug-code ConceptMaps and licensing,術語／法遵負責人,pending-human-signoff,licensed terminology release and reviewed ConceptMaps,,,,,,,
SEC-PRIVACY,security/privacy,"Approve identifier handling, access control, audit, retention and de-identification",個資／資安負責人,pending-human-signoff,DPIA/security review and penetration-test findings closed,,,,,,,
UAT-VPN,acceptance,Cross-system FHIR round-trip and official VPN XML acceptance,QBC申報負責人＋系統負責人,pending-external-acceptance,"receipts, error-code matrix and reconciliation report",,,,,,,
PUB-RELEASE,publication,"Approve publisher identity, immutable canonical/package/version and promotion to active/non-experimental",資料治理委員會／publisher,blocked-until-other-gates-close,all gates signed; release manifest and hashes,,,,,,,
