mapping_id,common_concept,source_profile_or_resource,target_path,candidate_terminology,terminology_status,used_by_indicator_family,used_by_measure,worksheet_column_quality,worksheet_column_quarterly,projection_rule,gap_if_absent,legacy_ids,review_status
CM-BC-001,patient age at case entry,BreastCancerPatient,Patient.birthDate,,n/a,both,bc-qi-06; bc-qr-14,年齡,年齡 / 年齡區間,derive age at 收案日期; do not store a computed age as a fact | 季報：derive age at EpisodeOfCare.period.start then band it by decade; do not store a computed age or a band code as a fact,indicator 6 age exclusion cannot be evaluated | 季報：age band distribution cannot be reported,QI-BC-001 QR-BC-002,design
CM-BC-002,case entry episode,BreastCancerEpisodeOfCare,EpisodeOfCare.period.start,,n/a,both,all,收案日期,收案日期 / 收案月份,"the quarter a case belongs to; also the anchor date for age | 季報：the reporting period a case belongs to, and the anchor date for age; the month column is a derived value and must not be stored separately",cases cannot be assigned to a reporting quarter | 季報：cases cannot be assigned to a reporting period,QI-BC-002 QR-BC-003,design
CM-BC-003,primary breast cancer diagnosis,BreastCancerPrimaryCondition,Condition.code|Condition.onsetDateTime,ICD-10-CM C50.-/D05.-,candidate-unverified,both,all,診斷碼,診斷碼,"keep the diagnosis code; laterality carries the bilateral case, which is two rows in the worksheet today | 季報：keep the diagnosis code and laterality; a bilateral patient is two Conditions, which is why the worksheet carries two rows for one 病歷號",bilateral cases cannot be separated from duplicate rows,QI-BC-003 QR-BC-005,design
CM-BC-004,clinical stage group,BreastCancerStageGroupObservation,Observation.valueCodeableConcept|Observation.method,AJCC 8th clinical stage group,candidate-unverified,both,"bc-qi-01, bc-qi-02, bc-qi-03, bc-qi-04, bc-qi-05, bc-qi-06; bc-qr-16",臨床期別,分期,record staging method and edition; never infer a missing stage from TNM,stage-based denominators cannot be evaluated | 季報：stage distribution cannot be reported,QI-BC-004 QR-BC-007,design
CM-BC-005,pathological stage group,BreastCancerStageGroupObservation,Observation.valueCodeableConcept|Observation.method,AJCC 8th pathological/post-neoadjuvant stage group,candidate-unverified,both,"bc-qi-01, bc-qi-03, bc-qi-05, bc-qi-06; bc-qr-16",病理期別,分期,"post-neoadjuvant cases carry ypStage, which is a real stage; the worksheet records 不適用 for 27 of 158 rows and that value must not survive into FHIR | 季報：the worksheet has one 分期 column and does not say whether it is clinical or pathological; the common layer must keep them apart",indicator 6 invasive-disease criterion falls back to clinical stage | 季報：stage provenance is lost,QI-BC-005 QR-BC-008,blocking-data-gap
CM-BC-006,pathological regional nodes category,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,AJCC pN category,candidate-unverified,quality,"bc-qi-02, bc-qi-03, bc-qi-04, bc-qi-06",病理N,,keep the full category including 0(i-) 0(i+) 1mi; the isolated-tumour-cell and micrometastasis distinctions drive three measures,node-based denominators and exclusions cannot be evaluated,QI-BC-006,design
CM-BC-007,pathological primary tumour category,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,AJCC pT category,candidate-unverified,both,bc-qi-06; bc-qr-17; bc-qr-18,病理T,,used to confirm invasive disease and to distinguish T1mi for quarterly histology and invasive HR/HER2 grouping,invasive-disease and quarterly subtype criteria cannot distinguish Tis from T1mi,QI-BC-007,design
CM-BC-008,estrogen receptor result,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%}|Observation.interpretation|Observation.dataAbsentReason,LOINC 16112-5 estrogen receptor,candidate-unverified,both,bc-qi-01; bc-qr-18,ER,subtype,"record the percentage as a Quantity in %; the 1-9% exclusion band needs a number, not an interpretation. Unavailable results use dataAbsentReason rather than free text | 季報：store the four marker results; the A/B1/B2/H/T subtype letter is a derived classification and belongs in the Measure stratifier, never in the shared layer",indicator 1 denominator cannot separate the 1-9% exclusion band | 季報：subtype distribution depends on a manually typed letter with no audit trail,QI-BC-008 QR-BC-011,design
CM-BC-009,progesterone receptor result,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%}|Observation.interpretation,LOINC 16113-3 progesterone receptor,candidate-unverified,quarterly,bc-qr-18,-,,combine with ER to derive hormone-receptor status for the quarterly HR/HER2 subtype,molecular subtype cannot be derived,QI-BC-009,design
CM-BC-010,HER2 immunohistochemistry result,BreastCancerTumorMarkerObservation,Observation.valueCodeableConcept,LOINC 48676-1 HER2 interpretation,candidate-unverified,both,bc-qi-04; bc-qr-18,-,,record 0/1+/2+/3+ as reported; indicator 4 and quarterly subtype need 3+ or 2+ resolved by ISH,indicator 4 and quarterly HR/HER2 subtype cannot be calculated,QI-BC-010,blocking-data-gap
