projection_id,mapping_id,alternative_index,common_concept,source_profile_expression,target_path_expression,projection_mode,target_profile_id,target_profile_canonical,target_element_id,target_element_path,selected_choice_type,datatype_child_path,required_unit,technical_status,fact_coverage_status,blocking_issue
CM-BC-001-T01,CM-BC-001,1,patient age at case entry,BreastCancerPatient,Patient.birthDate,local-profile-element,breast-cancer-patient,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-patient,Patient.birthDate,Patient.birthDate,,,,resolved-profile-element,complete,
CM-BC-002-T01,CM-BC-002,1,case entry episode,BreastCancerEpisodeOfCare,EpisodeOfCare.period.start,local-profile-element,breast-cancer-episode-of-care,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-episode-of-care,EpisodeOfCare.period,EpisodeOfCare.period,Period,start,,resolved-profile-element,complete,
CM-BC-003-T01,CM-BC-003,1,primary breast cancer diagnosis,BreastCancerPrimaryCondition,Condition.code,local-profile-element,breast-cancer-primary-condition,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-primary-condition,Condition.code,Condition.code,,,,resolved-profile-element,complete,
CM-BC-003-T02,CM-BC-003,2,primary breast cancer diagnosis,BreastCancerPrimaryCondition,Condition.onsetDateTime,local-profile-element,breast-cancer-primary-condition,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-primary-condition,Condition.onset[x],Condition.onset[x],dateTime,,,resolved-profile-element,complete,
CM-BC-004-T01,CM-BC-004,1,clinical stage group,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-004-T02,CM-BC-004,2,clinical stage group,BreastCancerStageGroupObservation,Observation.method,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.method,Observation.method,,,,resolved-profile-element,complete,
CM-BC-005-T01,CM-BC-005,1,pathological stage group,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-005-T02,CM-BC-005,2,pathological stage group,BreastCancerStageGroupObservation,Observation.method,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.method,Observation.method,,,,resolved-profile-element,complete,
CM-BC-006-T01,CM-BC-006,1,pathological regional nodes category,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element-semantic-profile-gap,blocked-semantic-profile-gap,Pathological regional-node category (pN) is projected into the BreastCancerStageGroupObservation shell. That Profile is declared for stage group and does not constrain Observation.code to pN semantics; path resolution therefore cannot establish semantic conformance.
CM-BC-007-T01,CM-BC-007,1,pathological primary tumour category,BreastCancerStageGroupObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-stage-group-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-stage-group-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element-semantic-profile-gap,blocked-semantic-profile-gap,Pathological primary-tumour category (pT) is projected into the BreastCancerStageGroupObservation shell. That Profile is declared for stage group and does not constrain Observation.code to pT semantics; path resolution therefore cannot establish semantic conformance.
CM-BC-008-T01,CM-BC-008,1,estrogen receptor result,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%},local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.value[x],Observation.value[x],Quantity,,%,resolved-profile-element-unit-policy-pending,unit-policy-pending,Required unit is declared in mapping syntax but still requires source-contract and clinical validation.
CM-BC-008-T02,CM-BC-008,2,estrogen receptor result,BreastCancerTumorMarkerObservation,Observation.interpretation,local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.interpretation,Observation.interpretation,,,,resolved-profile-element,complete,
CM-BC-008-T03,CM-BC-008,3,estrogen receptor result,BreastCancerTumorMarkerObservation,Observation.dataAbsentReason,local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.dataAbsentReason,Observation.dataAbsentReason,,,,resolved-profile-element,complete,
CM-BC-009-T01,CM-BC-009,1,progesterone receptor result,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%},local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.value[x],Observation.value[x],Quantity,,%,resolved-profile-element-unit-policy-pending,unit-policy-pending,Required unit is declared in mapping syntax but still requires source-contract and clinical validation.
CM-BC-009-T02,CM-BC-009,2,progesterone receptor result,BreastCancerTumorMarkerObservation,Observation.interpretation,local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.interpretation,Observation.interpretation,,,,resolved-profile-element,complete,
CM-BC-010-T01,CM-BC-010,1,HER2 immunohistochemistry result,BreastCancerTumorMarkerObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-011-T01,CM-BC-011,1,HER2 in situ hybridisation result,BreastCancerTumorMarkerObservation,Observation.valueCodeableConcept,local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.value[x],Observation.value[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-012-T01,CM-BC-012,1,Ki-67 proliferation index,BreastCancerTumorMarkerObservation,Observation.valueQuantity{%},local-profile-element,breast-cancer-tumor-marker-observation,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-tumor-marker-observation,Observation.value[x],Observation.value[x],Quantity,,%,resolved-profile-element-unit-policy-pending,unit-policy-pending,Required unit is declared in mapping syntax but still requires source-contract and clinical validation.
CM-BC-013-T01,CM-BC-013,1,molecular subtype,derived,derived from CM-BC-008 CM-BC-009 CM-BC-010 CM-BC-011 CM-BC-012,derived-rule,,,,,,,,declared-derived-rule,complete-derived-rule,
CM-BC-014-T01,CM-BC-014,1,breast surgery performed,BreastCancerTreatmentProcedure,Procedure.status,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.status,Procedure.status,,,,resolved-profile-element,complete,
CM-BC-014-T02,CM-BC-014,2,breast surgery performed,BreastCancerTreatmentProcedure,Procedure.code,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.code,Procedure.code,,,,resolved-profile-element,complete,
CM-BC-015-T01,CM-BC-015,1,breast surgery type,BreastCancerTreatmentProcedure,Procedure.code,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.code,Procedure.code,,,,resolved-profile-element,complete,
CM-BC-016-T01,CM-BC-016,1,axillary surgery type,BreastCancerTreatmentProcedure,Procedure.code,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.code,Procedure.code,,,,resolved-profile-element,complete,
CM-BC-017-T01,CM-BC-017,1,breast surgery date,BreastCancerTreatmentProcedure,Procedure.performedDateTime,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.performed[x],Procedure.performed[x],dateTime,,,resolved-profile-element,complete,
CM-BC-017-T02,CM-BC-017,2,breast surgery date,BreastCancerTreatmentProcedure,Procedure.performedPeriod.start,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.performed[x],Procedure.performed[x],Period,start,,resolved-profile-element,complete,
CM-BC-018-T01,CM-BC-018,1,diagnostic core needle biopsy,BreastCancerTreatmentProcedure,Procedure.code,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.code,Procedure.code,,,,resolved-profile-element-semantic-profile-gap,blocked-semantic-profile-gap,"A diagnostic core-needle biopsy is projected into BreastCancerTreatmentProcedure, whose declared scope is treatment. A dedicated diagnostic Procedure Profile or an explicitly reviewed broader Procedure contract is required."
CM-BC-018-T02,CM-BC-018,2,diagnostic core needle biopsy,BreastCancerTreatmentProcedure,Procedure.performedDateTime,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.performed[x],Procedure.performed[x],dateTime,,,resolved-profile-element-semantic-profile-gap,blocked-semantic-profile-gap,"A diagnostic core-needle biopsy is projected into BreastCancerTreatmentProcedure, whose declared scope is treatment. A dedicated diagnostic Procedure Profile or an explicitly reviewed broader Procedure contract is required."
CM-BC-019-T01,CM-BC-019,1,pathology report,BreastCancerPathologyReport,DiagnosticReport.effectiveDateTime,local-profile-element,breast-cancer-pathology-report,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-pathology-report,DiagnosticReport.effective[x],DiagnosticReport.effective[x],dateTime,,,resolved-profile-element,complete,
CM-BC-019-T02,CM-BC-019,2,pathology report,BreastCancerPathologyReport,DiagnosticReport.conclusionCode,local-profile-element,breast-cancer-pathology-report,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-pathology-report,DiagnosticReport.conclusionCode,DiagnosticReport.conclusionCode,,,,resolved-profile-element,complete,
CM-BC-020-T01,CM-BC-020,1,hormone therapy administered,BreastCancerMedicationAdministration,MedicationAdministration.medicationCodeableConcept,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.medication[x],MedicationAdministration.medication[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-020-T02,CM-BC-020,2,hormone therapy administered,BreastCancerMedicationAdministration,MedicationAdministration.effectiveDateTime,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.effective[x],MedicationAdministration.effective[x],dateTime,,,resolved-profile-element,complete,
CM-BC-021-T01,CM-BC-021,1,cytotoxic chemotherapy administered,BreastCancerMedicationAdministration,MedicationAdministration.medicationCodeableConcept,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.medication[x],MedicationAdministration.medication[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-021-T02,CM-BC-021,2,cytotoxic chemotherapy administered,BreastCancerMedicationAdministration,MedicationAdministration.effectiveDateTime,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.effective[x],MedicationAdministration.effective[x],dateTime,,,resolved-profile-element,complete,
CM-BC-022-T01,CM-BC-022,1,anti-HER2 targeted therapy administered,BreastCancerMedicationAdministration,MedicationAdministration.medicationCodeableConcept,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.medication[x],MedicationAdministration.medication[x],CodeableConcept,,,resolved-profile-element,complete,
CM-BC-022-T02,CM-BC-022,2,anti-HER2 targeted therapy administered,BreastCancerMedicationAdministration,MedicationAdministration.effectiveDateTime,local-profile-element,breast-cancer-medication-administration,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-medication-administration,MedicationAdministration.effective[x],MedicationAdministration.effective[x],dateTime,,,resolved-profile-element,complete,
CM-BC-023-T01,CM-BC-023,1,radiotherapy course,BreastCancerTreatmentProcedure,Procedure.status,local-profile-element,breast-cancer-treatment-procedure,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/StructureDefinition/breast-cancer-treatment-procedure,Procedure.status,Procedure.status,,,,resolved-profile-element,complete,
