claim_id,scope,authority,version,relationship,evidence_status,allowed_claim,prohibited_claim,blocking_evidence
IG-CORE,whole IG,HL7 FHIR R4,4.0.1,direct technical conformance,technical-build-pass,"FHIR R4 technical community draft builds and validates against the pinned packages","clinical correctness; official endorsement; production or submission readiness","complete release controls RC-01/03/05/06/07/08"
IG-TWCORE,breast common layer,TW Core IG,1.0.0,partial direct profile conformance,partial-structural-alignment,"TW Core is the Taiwan structural baseline and specifically named derived profiles conform to their declared parent","all breast profiles derive from or fully conform to TW Core","only BreastCancerPatient and QBCSubmissionBundle directly declare TW Core parents; profile-by-profile review remains"
IG-MCODE,breast common layer,mCODE,4.0.0,semantic reference only,reference-only,"selected concepts/canonical targets are compared with mCODE 4.0.0","mCODE conformance or simultaneous TW Core/mCODE conformance","mCODE package is not a dependency and no dual-conformance suite exists"
IG-ICHOM,outcome alignment,ICHOM Breast Cancer,1.0.0,semantic reference only,reference-only,"ICHOM is used to discuss outcome coverage and gaps","ICHOM conformance endorsement or complete outcome implementation","no ICHOM dependency/conformance suite and outcome Task is not implemented"
TASK-CAREPLAN,cancer care plan Task,local capture-v1 and template-v2 contracts,preview schemas,independent Task draft,executable-partial-draft,"223-control source-preserving executable draft with 25 partially implemented shared mappings","complete canonical clinical mapping or production-ready Care Plan workflow","195 field reviews and 3 algorithm reviews pending; controlled 314-control union has 91 additional unreviewed controls"
TASK-QBC,QBC/P4P Task,locally supplied QBC 11507 specification and NHIA workflow,115-year draft derivation,technical field-contract implementation,technical-pass-human-review-pending,"115/115 fields have implemented technical validation and synthetic Big5 XML round-trip","clinically approved mapping; official NHIA interpretation; VPN submission acceptance","115/115 clinical reviews pending; 14 approval gates not approved; no external VPN acceptance"
TASK-TWPAS,TWPAS prior-authorization Task,NHIA TWPAS published package,1.2.5,isolated projection design,mapping-design-only,"versioned crosswalk design with 12 common mappings and 15 Task-only requirements","generated TWPAS-conformant Bundle or formal submission readiness","no adapter/output validation against official package and no NHIA acceptance; terminology/path reviews pending"
TASK-CASE-MGMT,case-management quality and quarterly Task,local committee/report definitions,2026 draft,computable Measure draft,technical-pass-data-validation-blocked,"20/20 draft Measures execute against synthetic cases","clinically correct quality/quarterly figures or institution-ready reporting","0/20 raw mappings independent recalculations or real golden cohorts; 19 empty clinical ValueSets; known definition/data gaps"
TASK-TCR,Taiwan Cancer Registry Task,Taiwan Cancer Registry long-form codebook,draft source extraction,partial codebook implementation,partial-codebook-draft,"99-field Questionnaire with 48 verified coded fields and explicit pending markers","complete TCR long-form conformance or official submission readiness","32 coded/free-text fields still have unverified code-table requirements; 19 fields are intentionally non-coded; external acceptance absent"
TASK-FUTURE,pathology tumor-board follow-up and outcome Tasks,no implemented authority pin,n/a,planned only,not-implemented,"listed as future scope only","implemented profile conformance or workflow readiness","profiles mappings adapters and acceptance evidence do not exist"
