decision_id,claim_id,scope,proposed_role,claim_evidence_status,allowed_claim,prohibited_claim,blocking_evidence,current_status,required_signer,acceptance_evidence,decision,approved_role,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
SCOPE-IG-CORE,IG-CORE,whole IG,normative,technical-build-pass,FHIR R4 technical community draft builds and validates against the pinned packages,clinical correctness; official endorsement; production or submission readiness,complete release controls RC-01/03/05/06/07/08,pending-human-signoff,資料治理委員會／publisher,technical build evidence; complete eight-control audit; immutable package manifest and signed release decision,,,,,,,,
SCOPE-IG-TWCORE,IG-TWCORE,breast common layer,informative,partial-structural-alignment,TW Core is the Taiwan structural baseline and specifically named derived profiles conform to their declared parent,all breast profiles derive from or fully conform to TW Core,only BreastCancerPatient and QBCSubmissionBundle directly declare TW Core parents; profile-by-profile review remains,pending-human-signoff,FHIR 實作負責人,profile-by-profile parent/conformance inventory; wording review that limits claims to named direct parents,,,,,,,,
SCOPE-IG-MCODE,IG-MCODE,breast common layer,informative,reference-only,selected concepts/canonical targets are compared with mCODE 4.0.0,mCODE conformance or simultaneous TW Core/mCODE conformance,mCODE package is not a dependency and no dual-conformance suite exists,pending-human-signoff,FHIR／臨床術語負責人,package/version reference review; rendered wording proves semantic-reference-only and no mCODE conformance claim,,,,,,,,
SCOPE-IG-ICHOM,IG-ICHOM,outcome alignment,informative,reference-only,ICHOM is used to discuss outcome coverage and gaps,ICHOM conformance endorsement or complete outcome implementation,no ICHOM dependency/conformance suite and outcome Task is not implemented,pending-human-signoff,臨床成效指標負責人,versioned outcome-gap review; rendered wording proves reference-only and no ICHOM conformance claim,,,,,,,,
SCOPE-TASK-CAREPLAN,TASK-CAREPLAN,cancer care plan Task,informative,executable-partial-draft,223-control source-preserving executable draft with 25 partially implemented shared mappings,complete canonical clinical mapping or production-ready Care Plan workflow,195 field reviews and 3 algorithm reviews pending; controlled 314-control union has 91 additional unreviewed controls,pending-human-signoff,診療計畫臨床負責人＋FHIR負責人,field-review backlog and algorithm limitations rendered; no production-ready or complete canonical-mapping claim,,,,,,,,
SCOPE-TASK-QBC,TASK-QBC,QBC/P4P Task,normative,technical-pass-human-review-pending,115/115 fields have implemented technical validation and synthetic Big5 XML round-trip,clinically approved mapping; official NHIA interpretation; VPN submission acceptance,115/115 clinical reviews pending; 14 approval gates not approved; no external VPN acceptance,pending-human-signoff,QBC申報負責人＋資料治理委員會,formal-release-ready claim evidence; all QBC gates and applicable controls approved; receiver workflow evidence,,,,,,,,
SCOPE-TASK-TWPAS,TASK-TWPAS,TWPAS prior-authorization Task,informative,mapping-design-only,versioned crosswalk design with 12 common mappings and 15 Task-only requirements,generated TWPAS-conformant Bundle or formal submission readiness,no adapter/output validation against official package and no NHIA acceptance; terminology/path reviews pending,pending-human-signoff,事前審查流程負責人＋FHIR負責人,published-version design boundary rendered; no adapter/output/submission-conformance claim,,,,,,,,
SCOPE-TASK-CASE-MGMT,TASK-CASE-MGMT,case-management quality and quarterly Task,normative,technical-pass-data-validation-blocked,20/20 draft Measures execute against synthetic cases,clinically correct quality/quarterly figures or institution-ready reporting,0/20 raw mappings independent recalculations or real golden cohorts; 19 empty clinical ValueSets; known definition/data gaps,pending-human-signoff,癌症委員會／個管負責人＋資料治理委員會,formal-release-ready claim evidence; raw mappings terminology independent recalculation golden cohort and 20 Measure approvals,,,,,,,,
SCOPE-TASK-TCR,TASK-TCR,Taiwan Cancer Registry Task,informative,partial-codebook-draft,99-field Questionnaire with 48 verified coded fields and explicit pending markers,complete TCR long-form conformance or official submission readiness,32 coded/free-text fields still have unverified code-table requirements; 19 fields are intentionally non-coded; external acceptance absent,pending-human-signoff,癌症登記負責人＋術語負責人,verified/pending/non-coded field counts rendered; no complete TCR conformance or submission claim,,,,,,,,
SCOPE-TASK-FUTURE,TASK-FUTURE,pathology tumor-board follow-up and outcome Tasks,excluded,not-implemented,listed as future scope only,implemented profile conformance or workflow readiness,profiles mappings adapters and acceptance evidence do not exist,pending-human-signoff,資料治理委員會／publisher,release manifest marks roadmap-only scope; no conformance artifacts or implementation claim,,,,,,,,
