approval_id,measure_id,indicator_family,decision_scope,known_issue,current_status,required_signer,acceptance_evidence,decision,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
CM-BC-QI-01-SPEC,bc-qi-01,quality,"approve definition, terminology, source semantics, exception logic and truth table",raw ER/stage/treatment provenance; terminology; independent and end-to-end truth evidence,pending-human-signoff,clinical owner; terminology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QI-02-SPEC,bc-qi-02,quality,"approve definition, terminology, source semantics, exception logic and truth table",surgery and systemic-treatment dates replace the current category proxy; terminology; truth evidence,pending-human-signoff,clinical owner; terminology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QI-03-SPEC,bc-qi-03,quality,"approve definition, terminology, source semantics, exception logic and truth table",N3-DOSE requires delivered clinical-target-volume dose >=4000 cGy but no governed source/profile supplies it,pending-human-signoff,radiation-oncology owner; FHIR owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QI-04-SPEC,bc-qi-04,quality,"approve definition, terminology, source semantics, exception logic and truth table",one counted denominator case conflicts with surgery evidence; HER2 IHC/ISH are replaced by a hand-entered subtype proxy,pending-human-signoff,clinical owner; pathology/terminology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QI-05-SPEC,bc-qi-05,quality,"approve definition, terminology, source semantics, exception logic and truth table",biopsy/report/surgery dates are absent and ADH add-backs require governed case-level override evidence,pending-human-signoff,clinical owner; pathology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QI-06-SPEC,bc-qi-06,quality,"approve definition, terminology, source semantics, exception logic and truth table",written age-and-node exclusion conflicts with historical separate exclusions; pathological invasive status and external-site RT evidence are incomplete,pending-human-signoff,cancer-committee owner; clinical owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-01-SPEC,bc-qr-01,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",staging/death/transfer/refusal inputs are partly manual and have no raw-source provenance or golden reconciliation,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-02-SPEC,bc-qr-02,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",the Organization.partOf root defining an in-system transfer is not yet governed,pending-human-signoff,case-management owner; organization-master-data owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-03-SPEC,bc-qr-03,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",curative intent/completion and treatment-event classifications are partly manual and lack raw-source truth evidence,pending-human-signoff,case-management owner; clinical owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-04-SPEC,bc-qr-04,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",the prior-year plus current-period cohort and last-contact history are unavailable in a single-period export,pending-human-signoff,case-management owner; data-warehouse owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-05-SPEC,bc-qr-05,quarterly,"approve definition, terminology, source semantics, exception logic and truth table","refusal/interruption event, treatment intent and qualifying treatment resumption need owner adjudication and a truth set",pending-human-signoff,case-management owner; clinical owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-10-SPEC,bc-qr-10,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",source field/value provenance and case-management owner approval are absent,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-11-SPEC,bc-qr-11,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",case-entry date semantics/timezone and raw-source provenance are not approved,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-12-SPEC,bc-qr-12,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",manual staging override must preserve original value/reason and the status value set needs owner approval,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-13-SPEC,bc-qr-13,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",closure classifications mix clinical facts and human judgment and need source/owner approval,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-14-SPEC,bc-qr-14,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",birth-date/administrative-sex provenance and age-at-entry boundary reconciliation are absent,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-15-SPEC,bc-qr-15,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",Class 3 is currently recovered from free text; owner-approved structured input and reconciliation are absent,pending-human-signoff,case-management owner; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-16-SPEC,bc-qr-16,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",stage provenance/method and 24 manually resolved cases require governed source evidence and truth review,pending-human-signoff,cancer-registry owner; terminology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-17-SPEC,bc-qr-17,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",current S17/CQL enumerate 10 groups while source documentation says 11; missing or extra group is unidentified,pending-human-signoff,pathology owner; case-management owner; terminology reviewer,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
CM-BC-QR-18-SPEC,bc-qr-18,quarterly,"approve definition, terminology, source semantics, exception logic and truth table",ER/PR/HER2 assay terminology and raw results are absent; current report uses a hand-entered subtype letter,pending-human-signoff,pathology owner; terminology reviewer; source owner,signed versioned measure definition and truth table; resolved known issues; evidence URI and artifact SHA-256,,,,,,,
