tag,label,source_rule,required_when,validation_checks,rule_id,implementation,automated_test,technical_status,clinical_review_status
HOSPID,醫事機構代碼,醫事服務機構代號,,Big5 encodability | required | max length 10,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
HOSPID,醫事機構代碼,醫事服務機構代號,,Big5 encodability | required | max length 10,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
ID,個案身份證號,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼)，如為A123456789則輸入A123456789,,Big5 encodability | required | max length 10,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
ID,個案身份證號,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼)，如為A123456789則輸入A123456789,,Big5 encodability | required | max length 10,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
BIRTHDAY,個案出生年月日,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
BIRTHDAY,個案出生年月日,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
BIRTHDAY,個案出生年月日,固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-FORMAT-DATE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
DIAG_TYPE,收案類別,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
DIAG_TYPE,收案類別,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
DIAG_TYPE,收案類別,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
DIAG_TYPE,收案類別,1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
LATERALITY,側性(患部),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
LATERALITY,側性(患部),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
LATERALITY,側性(患部),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
LATERALITY,側性(患部),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
LATERALITY,側性(患部),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-LATERALITY-REQUIRED,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P01,個案姓名,中文字採使用Big-5碼，至多為50個中文字,,Big5 encodability | required | max length 50,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P01,個案姓名,中文字採使用Big-5碼，至多為50個中文字,,Big5 encodability | required | max length 50,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P02,個案性別,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,,Big5 encodability | required | max length 1 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P02,個案性別,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P02,個案性別,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P02,個案性別,0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,,Big5 encodability | required | max length 1 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P03,身高,數字、長度整數至多3位數及小數至多2位數、範例150.3,,Big5 encodability | required | max length 5 | decimal format,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P03,身高,數字、長度整數至多3位數及小數至多2位數、範例150.3,,Big5 encodability | required | max length 5 | decimal format,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P03,身高,數字、長度整數至多3位數及小數至多2位數、範例150.3,,Big5 encodability | required | max length 5 | decimal format,QBC-FORMAT-DECIMAL,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P04,體重,數字、長度整數至多3位數及小數至多2位數、範例59.65,,Big5 encodability | required | max length 5 | decimal format,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P04,體重,數字、長度整數至多3位數及小數至多2位數、範例59.65,,Big5 encodability | required | max length 5 | decimal format,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P04,體重,數字、長度整數至多3位數及小數至多2位數、範例59.65,,Big5 encodability | required | max length 5 | decimal format,QBC-FORMAT-DECIMAL,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P05,是否已停經,※ 僅女性個案需要填寫。 1：是 2：否,,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P05,是否已停經,※ 僅女性個案需要填寫。 1：是 2：否,,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P05,是否已停經,※ 僅女性個案需要填寫。 1：是 2：否,,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P05,是否已停經,※ 僅女性個案需要填寫。 1：是 2：否,,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P05,是否已停經,※ 僅女性個案需要填寫。 1：是 2：否,,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-P05-FEMALE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P06,停經年齡,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P06,停經年齡,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P06,停經年齡,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-FORMAT-INTEGER,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P06,停經年齡,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-FORMAT-RANGE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P06,停經年齡,※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-P06-MENOPAUSE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P07,主責醫師身份證字號,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼) 如為A123456789則輸入A123456789,,Big5 encodability | required | max length 10,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P07,主責醫師身份證字號,文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼) 如為A123456789則輸入A123456789,,Big5 encodability | required | max length 10,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P08,個案分類,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P08,個案分類,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P08,個案分類,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-FORMAT-CODE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P08,個案分類,1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,,Big5 encodability | required | max length 1 | allowed value set,QBC-VALUESET,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P09,收案日期,確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-ENCODING-BIG5,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P09,收案日期,確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-FORMAT-LENGTH,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
P09,收案日期,確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,,Big5 encodability | required | max length 8 | date format,QBC-FORMAT-DATE,qbc_workbench.validation,tests/test_conformance.py,implemented,verified-by-test
