evidence_id,fact_id,indicator_family,fact_name,fhir_target,source_role,source_system,source_artifact,source_element,source_version,data_type,time_semantics,unit_policy,null_policy,transformation_rule,provenance_rule,source_owner,review_status,reviewer_name,reviewer_organization_title,review_date,evidence_uri_path,signed_artifact_sha256,notes,record_grain,business_key,join_rule,source_cardinality,allowed_value_domain,event_timezone,precision_tolerance,duplicate_resolution_rule,late_arriving_update_rule,invalid_value_policy,extraction_filter,fhir_absence_representation,derivation_input_fact_ids
SRC-CM-BC-001,CM-BC-001,both,patient age at case entry,BreastCancerPatient::Patient.birthDate,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=年齡; quarterly=年齡 / 年齡區間,,,,,,,,,,,,,
SRC-CM-BC-002,CM-BC-002,both,case entry episode,BreastCancerEpisodeOfCare::EpisodeOfCare.period.start,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=收案日期; quarterly=收案日期 / 收案月份,,,,,,,,,,,,,
SRC-CM-BC-003,CM-BC-003,both,primary breast cancer diagnosis,BreastCancerPrimaryCondition::Condition.code|Condition.onsetDateTime,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=診斷碼; quarterly=診斷碼,,,,,,,,,,,,,
SRC-CM-BC-004,CM-BC-004,both,clinical stage group,BreastCancerStageGroupObservation::Observation.valueCodeableConcept|Observation.method,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=臨床期別; quarterly=分期,,,,,,,,,,,,,
SRC-CM-BC-005,CM-BC-005,both,pathological stage group,BreastCancerStageGroupObservation::Observation.valueCodeableConcept|Observation.method,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=病理期別; quarterly=分期,,,,,,,,,,,,,
SRC-CM-BC-006,CM-BC-006,quality,pathological regional nodes category,BreastCancerStageGroupObservation::Observation.valueCodeableConcept,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=病理N,,,,,,,,,,,,,
SRC-CM-BC-007,CM-BC-007,both,pathological primary tumour category,BreastCancerStageGroupObservation::Observation.valueCodeableConcept,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=病理T,,,,,,,,,,,,,
SRC-CM-BC-008,CM-BC-008,both,estrogen receptor result,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%}|Observation.interpretation|Observation.dataAbsentReason,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=ER; quarterly=subtype,,,,,,,,,,,,,
SRC-CM-BC-009,CM-BC-009,quarterly,progesterone receptor result,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%}|Observation.interpretation,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report column is a secondary reconciliation hint only.,,,,,,,,,,,,,
SRC-CM-BC-010,CM-BC-010,both,HER2 immunohistochemistry result,BreastCancerTumorMarkerObservation::Observation.valueCodeableConcept,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report column is a secondary reconciliation hint only.,,,,,,,,,,,,,
SRC-CM-BC-011,CM-BC-011,both,HER2 in situ hybridisation result,BreastCancerTumorMarkerObservation::Observation.valueCodeableConcept,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report column is a secondary reconciliation hint only.,,,,,,,,,,,,,
SRC-CM-BC-012,CM-BC-012,quality,Ki-67 proliferation index,BreastCancerTumorMarkerObservation::Observation.valueQuantity{%},pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report column is a secondary reconciliation hint only.,,,,,,,,,,,,,
SRC-CM-BC-013,CM-BC-013,quality,molecular subtype,derived from CM-BC-008/009/010/011/012,derived,,,,,,,,,derive A/B1/B2/H/T only from approved marker observations,,pending source-system owner,pending,,,,,,A hand-entered subtype letter is secondary reconciliation evidence and not a canonical clinical fact.,,,,,,,,,,,,,CM-BC-008 CM-BC-009 CM-BC-010 CM-BC-011 CM-BC-012
SRC-CM-BC-014,CM-BC-014,quality,breast surgery performed,BreastCancerTreatmentProcedure::Procedure.status|Procedure.code,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=手術,,,,,,,,,,,,,
SRC-CM-BC-015,CM-BC-015,quality,breast surgery type,BreastCancerTreatmentProcedure::Procedure.code,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=MRM / BCT / SM,,,,,,,,,,,,,
SRC-CM-BC-016,CM-BC-016,quality,axillary surgery type,BreastCancerTreatmentProcedure::Procedure.code,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=SLNB / ALND,,,,,,,,,,,,,
SRC-CM-BC-017,CM-BC-017,quality,breast surgery date,BreastCancerTreatmentProcedure::Procedure.performedDateTime|Procedure.performedPeriod.start,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,The current worksheet does not contain the required surgery date.,,,,,,,,,,,,,
SRC-CM-BC-018,CM-BC-018,quality,diagnostic core needle biopsy,BreastCancerTreatmentProcedure::Procedure.code|Procedure.performedDateTime,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=CB,,,,,,,,,,,,,
SRC-CM-BC-019,CM-BC-019,quality,pathology report,BreastCancerPathologyReport::DiagnosticReport.effectiveDateTime|DiagnosticReport.conclusionCode,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report does not establish the authoritative report date.,,,,,,,,,,,,,
SRC-CM-BC-020,CM-BC-020,quality,hormone therapy,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=賀爾蒙治療,,,,,,,,,,,,,
SRC-CM-BC-021,CM-BC-021,quality,cytotoxic chemotherapy,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=抗癌治療,,,,,,,,,,,,,
SRC-CM-BC-022,CM-BC-022,quality,anti-HER2 targeted therapy,BreastCancerMedicationRequest::MedicationRequest.medicationCodeableConcept|MedicationRequest.authoredOn,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=anti HER 2藥物治療,,,,,,,,,,,,,
SRC-CM-BC-023,CM-BC-023,quality,radiotherapy course,BreastCancerTreatmentProcedure::Procedure.status|Procedure.code|Procedure.performedPeriod,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quality=放射線治療,,,,,,,,,,,,,
SRC-CM-BC-024,CM-BC-024,quality,radiotherapy delivered dose,RadiotherapyCourseSummary.totalDoseDelivered{cGy},pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,The current report does not carry delivered dose.,,,,,,,,,,,,,
SRC-CM-BC-025,CM-BC-025,quality,treatment performing organisation,BreastCancerTreatmentProcedure/MedicationRequest performer or location,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Embedded report annotations such as 總院/外院 are secondary reconciliation hints only.,,,,,,,,,,,,,
SRC-CM-BC-030,CM-BC-030,quarterly,patient administrative sex,BreastCancerPatient::Patient.gender,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quarterly=性別,,,,,,,,,,,,,
SRC-CM-BC-031,CM-BC-031,quarterly,case closure,BreastCancerEpisodeOfCare::EpisodeOfCare.period.end|EpisodeOfCare.status,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report columns are secondary reconciliation hints only: quarterly=結案日期 / 收案狀態,,,,,,,,,,,,,
SRC-CM-BC-032,CM-BC-032,quarterly,histology type,BreastCancerPrimaryCondition histology or Observation,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report text is a secondary reconciliation hint only; the grouping definition is unresolved.,,,,,,,,,,,,,
SRC-CM-BC-033,CM-BC-033,quarterly,staging not yet complete,BreastCancerStageGroupObservation::Observation.dataAbsentReason,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing 分期=? report value is secondary reconciliation evidence only.,,,,,,,,,,,,,
SRC-CM-BC-034,CM-BC-034,quarterly,care transferred to another facility,BreastCancerEpisodeOfCare::EpisodeOfCare.managingOrganization|Organization.partOf,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing transfer hospital columns are secondary reconciliation hints only.,,,,,,,,,,,,,
SRC-CM-BC-035,CM-BC-035,quarterly,curative-intent treatment in progress,Procedure/MedicationRequest/Radiotherapy status,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing report treatment detail is secondary reconciliation evidence only.,,,,,,,,,,,,,
SRC-CM-BC-036,CM-BC-036,quarterly,death,BreastCancerPatient::Patient.deceasedDateTime,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing death bucket flags are secondary reconciliation evidence only.,,,,,,,,,,,,,
SRC-CM-BC-037,CM-BC-037,quarterly,last contact with the care team,Encounter::Encounter.period.end,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,Existing recent-visit fields are secondary reconciliation hints only.,,,,,,,,,,,,,
SRC-CM-BC-038,CM-BC-038,quarterly,prior-year new diagnosis cohort,BreastCancerEpisodeOfCare::EpisodeOfCare.period.start,pending-source-discovery,,,,,,,,,,,pending source-system owner,pending,,,,,,A single-period report cannot establish the prior-year cohort.,,,,,,,,,,,,,
SRC-CM-TASK-001,CM-TASK-001,both,Class 分類,Group.member or Task.input,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
SRC-CM-TASK-002,CM-TASK-002,both,收案身份 / 確診醫院,Task.input,pending-source-discovery,,,,,,,,,,,case management system,pending,,,,,,Existing report/manual field is not authoritative until its originating system element is approved.,,,,,,,,,,,,,
