mapping_id,common_concept,source_profile_or_resource,target_profile,target_path,ownership,projection_rule,loss_policy,review_status,official_reference
TWPAS-BC-001,patient demographics,BreastCancerPatient,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Patient-twpas,Patient,shared-clinical,"create a separate TWPAS projection and satisfy official identifier/name/gender/birthDate rules","retain original common resource and provenance",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Patient-twpas.html
TWPAS-BC-002,primary breast cancer diagnosis,BreastCancerPrimaryCondition,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Claim-twpas,Claim.diagnosis,shared-clinical,"map diagnosis code and recorded date without replacing the source Condition","retain full Condition semantics and source evidence",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-ApplyModel-mappings.html
TWPAS-BC-003,cancer stage,BreastCancerStageGroupObservation,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Observation-cancer-stage-twpas,Observation.code|method|valueCodeableConcept|effectiveDateTime,shared-clinical,"preserve stage type method/version value date focus and evidence; do not infer missing TNM","retain original stage granularity and staging edition",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Observation-cancer-stage-twpas.html
TWPAS-BC-004,tumor marker or molecular result,BreastCancerTumorMarkerObservation,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Observation-diagnostic-twpas,Observation.code|value[x]|specimen|method|effective[x],shared-clinical,"select diagnostic versus laboratory target only after assay/specimen/value-type review","retain raw report value assay specimen and interpretation",pending-terminology-review,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Observation-diagnostic-twpas.html
TWPAS-BC-005,laboratory result,BreastCancerSourceObservation,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Observation-laboratory-result-twpas,Observation.code|value[x]|referenceRange|effective[x]|performer,shared-clinical,"copy validated coded result units ranges time and performer","retain source DiagnosticReport and exact original result",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Observation-laboratory-result-twpas.html
TWPAS-BC-006,imaging report,BreastCancerUltrasoundReport,https://nhicore.nhi.gov.tw/pas/StructureDefinition/DiagnosticReport-image-twpas,DiagnosticReport,shared-clinical,"project report and link DICOM ImagingStudy or non-DICOM Media according to official rules","retain original report attachment identifiers and lineage",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-DiagnosticReport-image-twpas.html
TWPAS-BC-007,patient performance assessment,BreastCancerSourceObservation,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Observation-pat-assessment-twpas,Observation.code|value[x]|effective[x]|performer,shared-clinical,"preserve scale type score time and performer","retain raw scale response and provenance",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Observation-pat-assessment-twpas.html
TWPAS-BC-008,prior cancer treatment medication,BreastCancerMedicationRequest,https://nhicore.nhi.gov.tw/pas/StructureDefinition/MedicationRequest-treat-twpas,MedicationRequest,shared-clinical,"project prior treatment separately from the requested authorization item","retain common medication history and exact source coding",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-MedicationRequest-treat-twpas.html
TWPAS-BC-009,requested authorization medication,TWPAS application input,https://nhicore.nhi.gov.tw/pas/StructureDefinition/MedicationRequest-apply-twpas,MedicationRequest,task-only,"collect for the current application; never copy automatically from prior treatment","reject output when required application item data are absent",task-only,https://nhicore.nhi.gov.tw/pas/StructureDefinition-MedicationRequest-apply-twpas.html
TWPAS-BC-010,radiotherapy,BreastCancerTreatmentProcedure,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Procedure-twpas,Procedure,shared-clinical,"project validated course/site/date data and apply official dose representation rules","retain detailed common treatment record",design,https://nhicore.nhi.gov.tw/pas/vision-cancer.html
TWPAS-BC-011,care plan supporting document,DocumentReference|CancerCarePlanTaskCarePlan,https://nhicore.nhi.gov.tw/pas/StructureDefinition/DocumentReference-twpas,Claim.supportingInfo.valueReference,shared-document,"attach or reference the reviewed document using carePlanDocument category","document does not replace atomic clinical facts",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-ApplyModel-mappings.html
TWPAS-BC-012,treatment response or disease status,BreastCancerSourceObservation,https://nhicore.nhi.gov.tw/pas/StructureDefinition/Observation-tx-assessment-twpas,Observation.code|value[x]|effective[x]|performer,shared-clinical,"preserve assessment type result time evidence and performer","retain original outcome observation and evidence",design,https://nhicore.nhi.gov.tw/pas/StructureDefinition-Observation-tx-assessment-twpas.html
