tag,label,section,required_marker,source_format,source_rule,always_required,required_when,data_type,max_length,minimum,maximum,allowed_values,multi_select,validation_checks,rule_ids,technical_status,clinical_review_status,review_notes
HOSPID,醫事機構代碼,個案鍵值,＊,X(10）,醫事服務機構代號,True,,string,10,,,,False,Big5 encodability | required | max length 10,,implemented,pending,
ID,個案身份證號,個案鍵值,＊,X(10),文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼)，如為A123456789則輸入A123456789,True,,string,10,,,,False,Big5 encodability | required | max length 10,,implemented,pending,
BIRTHDAY,個案出生年月日,個案鍵值,＊,X(8),固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,True,,date,8,,,,False,Big5 encodability | required | max length 8 | date format,,implemented,pending,
DIAG_TYPE,收案類別,個案鍵值,＊,X(1),1:新診斷個案-直接治癒性手術 2:新診斷個案-新輔助性治療法 3:首次復發個案,True,,code,1,,,"1,2,3",False,Big5 encodability | required | max length 1 | allowed value set,,implemented,pending,
LATERALITY,側性(患部),個案鍵值,＊,X(1),填入代碼: L:左側 R:右側 上傳資料包含診斷病理或治療療程時必填。 若為雙側的病患，請將左右側拆分為2筆資料填寫。,True,,code,1,,,"L,R",False,Big5 encodability | required | max length 1 | allowed value set | cross-field business rules,QBC-LATERALITY-REQUIRED,implemented,pending,
P01,個案姓名,基本資料,＊,X(50),中文字採使用Big-5碼，至多為50個中文字,True,,string,50,,,,False,Big5 encodability | required | max length 50,,implemented,pending,
P02,個案性別,基本資料,＊,X(1),0：男性 1：女性 2：其他 (不符合傳統性別者，如雙性、跨性別) 3：未知,True,,code,1,,,"0,1,2,3",False,Big5 encodability | required | max length 1 | allowed value set,,implemented,pending,
P03,身高,基本資料,＊,X(5),數字、長度整數至多3位數及小數至多2位數、範例150.3,True,,decimal,5,,,,False,Big5 encodability | required | max length 5 | decimal format,,implemented,pending,
P04,體重,基本資料,＊,X(5),數字、長度整數至多3位數及小數至多2位數、範例59.65,True,,decimal,5,,,,False,Big5 encodability | required | max length 5 | decimal format,,implemented,pending,
P05,是否已停經,基本資料,△,X(1),※ 僅女性個案需要填寫。 1：是 2：否,False,,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-P05-FEMALE,implemented,pending,
P06,停經年齡,基本資料,△,X(2),※ 僅限已停經的女性個案需要填寫。 填入數字範圍值:0-99 (實歲),False,,integer,2,0,99,,False,Big5 encodability | max length 2 | integer format | numeric range | cross-field business rules,QBC-P06-MENOPAUSE,implemented,pending,
P07,主責醫師身份證字號,基本資料,＊,X(10),文數字，國民身分證統一編號或外籍居留證號碼(如無居留證號碼請填護照號碼) 如為A123456789則輸入A123456789,True,,string,10,,,,False,Big5 encodability | required | max length 10,,implemented,pending,
P08,個案分類,基本資料,＊,X(1),1：本院診斷+治療 2：他院診斷、本院治療 3：復發個案,True,,code,1,,,"1,2,3",False,Big5 encodability | required | max length 1 | allowed value set,,implemented,pending,
P09,收案日期,基本資料,＊,X(8),確定診斷及提供相關治療建議之(門診)日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,True,,date,8,,,,False,Big5 encodability | required | max length 8 | date format,,implemented,pending,
D001,(新輔助) 最初診斷日期,新輔助－術前診斷,＊,X(8),若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206,False,,date,8,,,,False,Big5 encodability | max length 8 | date format | cross-field business rules,QBC-D001-DIAGTYPE,implemented,pending,
D002,(新輔助) 最初診斷院所,新輔助－術前診斷,△,X(1),1：本院 2：他院,False,,code,1,,,"1,2",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D003,(新輔助) 組織學分類,新輔助－術前診斷,△,X(1),0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others,False,,code,1,,,"0,1,2,3,4,5,6,7,8",False,Big5 encodability | max length 1 | allowed value set,,implemented,pending,
D004,(新輔助) 腫瘤組織分級,新輔助－術前診斷,△,X(1),※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性),False,,code,1,,,"X,1,2,3",False,Big5 encodability | max length 1 | allowed value set | cross-field business rules,QBC-D004-HISTOLOGY,implemented,pending,
D005,(新輔助) 臨床期別 T,新輔助－術前診斷,△,X(5),T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知,False,,code,5,,,"T0,Tis,T1,T2,T3,T4,Tx",False,Big5 encodability | max length 5 | allowed value set,,implemented,pending,
D006,(新輔助) 臨床期別 N,新輔助－術前診斷,△,X(5),N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知,False,,code,5,,,"N0,N1mi,N1,N2,N3,Nx",False,Big5 encodability | max length 5 | allowed value set,,implemented,pending,
D007,(新輔助) 臨床期別 M,新輔助－術前診斷,△,X(5),M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知,False,,code,5,,,"M0,M1,Mx",False,Big5 encodability | max length 5 | allowed value set,,implemented,pending,
D008,(新輔助) 癌症臨床分期：TNM 計算結果,新輔助－術前診斷,△,X(20),"預設為空白，由系統自動計算「D005」、「D006」、「D007」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D005」填入[T4]，「D006」填入[N0]，「D007」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D005」填入[T4]，「D006」填入[Nx]，「D007」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA： ['T1N0M0'] StageⅠB： ['T0N1miM0', 'T1N1miM0'] StageⅡA： ['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB： ['T3N0M0', 'T2N1M0'] StageⅢA： ['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB： ['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC： ['anyTN3M0'] StageⅣ： ['anyTanyNM1'] Stage X： ['TxNxMx', 'TxNxM0']",False,,string,20,,,,False,Big5 encodability | max length 20 | cross-field business rules,QBC-D008-TNM,implemented,pending,
