decision_id,criterion_id,measure_id,issue_class,known_difference,decision_group,decision_scope,decision_question,required_outcome,required_signer,acceptance_evidence,current_status,decision,approved_rule_or_contract,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
CR-IP-CLASS,IP-CLASS,bc-qi-00,task-layer-only,Class 1/2 and breast-cancer membership are assumed when the evaluation Group is assembled; this repository has no executable Group-assembly rule.,QI-COHORT-ASSEMBLY,Group assembly before Measure evaluation,"What executable rule creates the class 1/2 breast-cancer evaluation Group, including null and duplicate handling?",Implement the approved Group-assembly rule and prove that every included and excluded case has a reproducible reason.,cohort owner; cancer-registry owner; FHIR/CQL owner,versioned cohort specification; executable assembly implementation; boundary truth table; case-level cohort reconciliation; signed artifact hash,pending-implementation,,,,,,,,
CR-X1-TEAM,X1-TEAM,bc-qi-01,task-layer-only,The multidisciplinary exclusion is intentionally absent from CQL and must be applied as a reasoned case-level decision.,QI-MDT-OVERRIDE,multidisciplinary exclusion for QI-01,"Which governed case-level decision excludes a patient after multidisciplinary review, and where is its reason and approver recorded?",Approve one explicit override contract and reconcile every QI-01 exclusion against the unadjusted CQL result.,QI-01 clinical owner; multidisciplinary-team chair; data-governance owner,versioned override schema; Task or MeasureReport representation; positive negative and null truth cases; case-level diff; signed artifact hash,pending-implementation,,,,,,,,
CR-N3-DOSE,N3-DOSE,bc-qi-03,known-not-enforced,Total Radiotherapy Dose cGy is a null placeholder and Numerator 3 does not enforce the required >=4000 cGy threshold; the result is only an upper bound. | Current source/report proxy: no dose is recorded anywhere; the criterion is not evaluated at all today,QI-03-RT-DOSE,delivered radiotherapy dose threshold for QI-03 numerator,"Which authoritative delivered-dose fact, target-volume semantics and unit conversion prove total dose is at least 4000 cGy?","Map an approved raw delivered-dose source, normalize UCUM units, enforce >=4000 cGy in CQL, and prove boundary cases below at and above the threshold.",radiation-oncology owner; source-system owner; FHIR/CQL owner,source schema and lineage; FHIR profile/path; unit-conversion rule; 3999 4000 4001 cGy truth cases; independent case-level recalculation; signed artifact hash,pending-implementation,,,,,,,,
CR-X5-TEAM,X5-TEAM,bc-qi-05,task-layer-only,The multidisciplinary exclusion is intentionally absent from CQL and must be applied as a reasoned case-level decision.,QI-MDT-OVERRIDE,multidisciplinary exclusion for QI-05,"Which governed case-level decision excludes a patient after multidisciplinary review, and where is its reason and approver recorded?",Approve one explicit override contract and reconcile every QI-05 exclusion against the unadjusted CQL result.,QI-05 clinical owner; multidisciplinary-team chair; data-governance owner,versioned override schema; Task or MeasureReport representation; positive negative and null truth cases; case-level diff; signed artifact hash,pending-implementation,,,,,,,,
CR-N5-ADH-RULE,N5-ADH-RULE,bc-qi-05,task-layer-only,The ADH committee add-back is intentionally absent from CQL and has no executable per-case override contract in this IG. | Current source/report proxy: applied case by case as a manual numerator add-back; five cases in 2026Q1,QI-05-ADH-ADD-BACK,ADH committee numerator add-back for QI-05,"What original result, reason, decision, approver and time are required to add a case back to the numerator?",Implement and approve a non-destructive add-back contract that preserves the original result and produces an auditable adjusted result.,QI-05 clinical owner; pathology owner; data-governance owner,versioned add-back schema; before and after result representation; approval trail; positive negative revoked and missing-evidence truth cases; case-level reconciliation; signed artifact hash,pending-implementation,,,,,,,,
CR-X6-AGE-NODE-DEF,X6-AGE-NODE-DEF,bc-qi-06,implemented-variant-unresolved,"The written AND rule is implemented, but the caller may instead choose the historical practice variant; the authoritative reading is not approved.",QI-06-AGE-NODE-VARIANT,authoritative age and node exclusion semantics for QI-06,Is the production exclusion the written combined age-and-node rule or the historical separate age or node rule?,"Approve exactly one variant, lock the production parameter, retire the competing production interpretation, and reconcile all changed denominator cases.",cancer-committee chair; QI-06 clinical owner; quality owner,signed interpretation of the normative wording; locked parameter value; boundary truth table; historical-versus-approved case-level diff; signed artifact hash,pending-human-decision,,,,,,,,
CR-X6-AGE-PRACTICE,X6-AGE-PRACTICE,bc-qi-06,implemented-variant-unresolved,"The historical age-only exclusion is implemented, but it conflicts with the written AND rule. | Current source/report proxy: 歷年實作把年齡與淋巴結兩個排除條件拆成獨立條件，與定義原文的 AND 不同",QI-06-AGE-NODE-VARIANT,historical age-only exclusion variant for QI-06,Is the historical age-only exclusion retained as part of the approved production interpretation?,Use the same single signed variant decision and reconciliation as X6-AGE-NODE-DEF; no independent contradictory approval is allowed.,cancer-committee chair; QI-06 clinical owner; quality owner,same signed decision package as QI-06-AGE-NODE-VARIANT; age boundary cases; case-level diff; signed artifact hash,pending-human-decision,,,,,,,,
CR-X6-NODE-PRACTICE,X6-NODE-PRACTICE,bc-qi-06,implemented-variant-unresolved,"The historical node-only exclusion is implemented, but it conflicts with the written AND rule. | Current source/report proxy: 同上；2026Q1 因此少了 30 例分母",QI-06-AGE-NODE-VARIANT,historical node-only exclusion variant for QI-06,Is the historical node-only exclusion retained as part of the approved production interpretation?,Use the same single signed variant decision and reconciliation as X6-AGE-NODE-DEF; no independent contradictory approval is allowed.,cancer-committee chair; QI-06 clinical owner; quality owner,same signed decision package as QI-06-AGE-NODE-VARIANT; node boundary cases; case-level diff; signed artifact hash,pending-human-decision,,,,,,,,
CR-X1-STAGING-DEATH,X1-STAGING-DEATH,bc-qr-01,candidate-not-approved,"Died Before Curative Treatment now uses actual Procedure or MedicationAdministration events, but event status alone does not prove curative intent or course-level treatment semantics. | Current source/report proxy: task-only 不列入分母原因 = 診斷中死亡",QR-TREATMENT-BEFORE-DEATH,curative-intent treatment before death for QR-01,Which approved intent and course linkage prove that an actual Procedure or MedicationAdministration event was curative treatment?,Approve the intent and treatment-course linkage rule and reconcile every death-before-curative-treatment exclusion.,QR-01 case-management owner; oncology treatment owner; FHIR/CQL owner,intent and course-linkage contract; curative palliative and unknown-intent truth cases; before-death boundary cases; case-level diff; signed artifact hash,pending-human-decision,,,,,,,,
CR-X1-NOSTAY-TRANSFER,X1-NOSTAY-TRANSFER,bc-qr-01,known-not-enforced,"The declared rule requires transfer during staging with no local treatment resource, but Numerator QR1 Exclusion checks only transfer/refusal disposition and never enforces absence of local treatment. | Current source/report proxy: 不留院治療原因 = 診斷中轉院",QR-01-TRANSFER-WITHOUT-TREATMENT,transfer-during-staging numerator exclusion for QR-01,"Must the transfer exclusion also prove that no local treatment occurred, as the declared rule currently states?",Implement the no-local-treatment predicate or approve revised wording and reconcile every transferred case.,QR-01 case-management owner; quality-program owner; FHIR/CQL owner,approved criterion wording; treatment-event contract; transfer with and without local treatment truth cases; case-level diff; signed artifact hash,pending-implementation,,,,,,,,
