field_id,field_group,field_zh,source_owner,common_fact,partially_derivable_from,used_by_indicator_family,fhir_representation,required_behavior,legacy_ids,review_status
CM-TASK-001,cohort,Class 分類,case management system,no,,both,Group.member or Task.input,"registry case class 0-3 assigned by the case manager. It is an administrative cohort label, not a clinical finding; do not promote it to shared breast cancer terminology | 季報：registry case class 0-3 assigned by the case manager. Shared with the quality index task and must carry the same definition in both; do not promote it to shared breast cancer terminology",QI-TASK-001 QR-TASK-007,design
CM-TASK-002,cohort,收案身份 / 確診醫院,case management system,no,,both,Task.input,"new diagnosis versus transferred case, and whether diagnosis was made here or elsewhere. Affects data completeness, not measure logic | 季報：new diagnosis / old case / delayed entry (within or outside the year) / first recurrence (curable or not). Decides which cases enter the new-diagnosis tables; it is a case-management category, not a clinical finding",QI-TASK-002 QR-TASK-001,design
CM-TASK-003,workflow,收案狀態(新診斷動態),case management system,no,,quarterly,Task.businessStatus,diagnosis / treatment / trial / follow-up / palliative / refused-interrupted / closed. The case manager overrides the system value when a case recorded as in-treatment is in fact still being staged; the override and its reason must survive into the audit output,QR-TASK-002,design
CM-TASK-004,workflow,是否留院治療 + 不留院治療原因,case management system,no,CM-BC-034,quarterly,Task.businessStatus with reason,"whether the patient stays here for treatment and why not. The transfer reason is partly clinical (a receiving Organization exists) and partly administrative (refusal, no return visit)",QR-TASK-003,design
CM-TASK-005,workflow,不列入分母原因 + 留院治療不列入分母原因,case management system,no,CM-BC-033 CM-BC-036,quarterly,MeasureReport extension or Task.output with reason,why a case is excluded from the retention or completion denominator. Staging-in-progress becomes derivable once the stage observation carries a data-absent reason; the rest stay administrative,QR-TASK-004,design
CM-TASK-006,workflow,可治癒性治療細目,case management system,no,CM-BC-035 CM-BC-036,quarterly,Task.businessStatus with reason,in curative treatment / died during treatment / transferred during treatment / physician advised stopping / not advisable / active surveillance. The event is derivable from treatment resources; the physician's reasoning is not,QR-TASK-005,design
CM-TASK-007,workflow,完成治療率 + 完成原因 + 未完成治療原因,case management system,no,CM-BC-035 CM-BC-036,quarterly,Task.output with reason,completed here / completed then died / completed then transferred / incomplete (refused part of treatment or interrupted). Completion is derivable from treatment resource status; refusal and interruption are not,QR-TASK-006,design
CM-TASK-010,committee decision,分母排除 / 分子加回 / 分子排除,cancer committee,no,,quality,MeasureReport extension or Task.output with reason,one entry per case per measure with a stated reason. Never derivable from clinical data. Must survive into the audit output so a reviewer can see what was overridden and why,QI-TASK-003,design
CM-TASK-011,committee decision,團隊自訂閾值,cancer committee,no,,quality,Measure extension or MeasureReport extension,the threshold is set annually by the team and is not part of the clinical model; keep the year it was set,QI-TASK-004,design
CM-TASK-012,committee decision,不符合個案分析(VS、討論過程、結論),cancer committee,no,,quality,MeasureReport extension or Composition,"narrative review of every case that missed the numerator. Required by the committee report, not by the measure calculation",QI-TASK-005,design
CM-TASK-013,adjudication,分期未定個案的期別判定,case manager,no,,quarterly,MeasureReport extension or Task.output with reason,a case whose stage column is empty but whose narrative states the stage. Each adjudication carries the resolved stage and the reason. This is the single largest manual step today and is expected to approach zero once the stage observation and its data-absent reason exist,QR-TASK-009,design
CM-TASK-014,adjudication,拒絕及中斷程度(全/部分)與重返治療認定,case manager,no,,quarterly,MeasureReport extension or Task.output with reason,"whether the patient refused all or part of treatment, and whether a later treatment counts as a return. Feeds the return-to-treatment rate and the case list printed on the report",QR-TASK-010,design
CM-TASK-015,adjudication,失聯認定,case manager,no,,quarterly,MeasureReport extension or Task.output with reason,"loss to follow-up is judged against the prior-year cohort, which a single-period export does not contain. Until that cohort is available the figure is entered by hand and must not be reported as calculated",QR-TASK-011,design
CM-TASK-016,narrative,其它分期明細附註,case manager,no,,quarterly,MeasureReport extension,"free-text breakdown of the 其它 stage bucket printed under the stage table (for example 診斷中轉院*16, 外院資料不足*1). Derived from the stage stratifier but rendered as narrative on the worksheet",QR-TASK-012,design
CM-TASK-020,reporting,季別與報告期間,quality management,no,,both,MeasureReport.period,the governed calendar quarter and cutoff policy used as the Measurement Period by both quality and quarterly Measures,QI-TASK-006,design
CM-TASK-021,reporting,全國/醫學中心/區域醫院平均值,external benchmark,no,,quality,MeasureReport extension,published comparison values carried into the committee report; sourced externally and must keep their publication year,QI-TASK-007,design
CM-TASK-022,provenance,原始檔 SHA-256 與執行時間,quality management,no,,quality,Provenance,which version of the source data produced a given quarterly result; required because the case manager corrects the source file and the report is rerun,QI-TASK-008,design
CM-TASK-023,reporting,個管師歸屬,case management system,no,,quarterly,MeasureReport.reporter,"the report is filed per case manager and each worksheet column is one caseload; a facility figure is the sum of the reports, never a separate calculation",QR-TASK-008,design
