approval_id,valueset_id,cql_identifier,cql_usage_status,intended_semantics,candidate_code_system_family,authoritative_source_version,content_status,current_status,required_reviewer,acceptance_evidence,decision,signer_name,signer_organization_title,decision_date,evidence_uri_path,signed_artifact_sha256,notes
TERM-CM-01,cm-clinical-stage-group-code,Clinical Stage Group Code,referenced,Clinical breast cancer stage group observation codes,AJCC stage group plus approved observation coding,pending-owner-confirmation,empty-blocking,pending-human-signoff,oncology staging and terminology reviewer,"Versioned source citation; complete expansion; valid/invalid fixtures; CQL cohort diff",,,,,,,
TERM-CM-02,cm-pathological-stage-group-code,Pathological Stage Group Code,referenced,Pathological breast cancer stage group observation codes,AJCC pathological stage group plus approved observation coding,pending-owner-confirmation,empty-blocking,pending-human-signoff,oncology staging and terminology reviewer,"Versioned source citation; complete expansion; valid/invalid fixtures; CQL cohort diff",,,,,,,
TERM-CM-03,cm-pathological-n-category-code,Pathological Node Category Code,referenced,Pathological regional lymph-node category observation codes,AJCC pN category plus approved observation coding,pending-owner-confirmation,empty-blocking,pending-human-signoff,oncology staging and terminology reviewer,"Versioned source citation; complete expansion; valid/invalid fixtures; boundary cohort diff",,,,,,,
TERM-CM-04,cm-pathological-t-category-code,Pathological Tumor Category Code,referenced,Pathological primary-tumor category observation codes,AJCC pT category plus approved observation coding,pending-owner-confirmation,empty-blocking,pending-human-signoff,oncology staging and terminology reviewer,"Versioned source citation; complete expansion; valid/invalid fixtures; boundary cohort diff",,,,,,,
TERM-CM-05,cm-estrogen-receptor-code,Estrogen Receptor Code,referenced,Estrogen receptor test observation identities,LOINC or approved local laboratory catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,pathology laboratory and terminology reviewer,"Versioned code list; specimen/method scope; positive/negative fixtures; source-system crosswalk",,,,,,,
TERM-CM-06,cm-her2-ihc-code,HER2 Immunohistochemistry Code,referenced,HER2 immunohistochemistry observation identities,LOINC or approved local pathology catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,pathology laboratory and terminology reviewer,"Versioned code list; IHC-only scope; 0/1+/2+/3+ fixtures; source-system crosswalk",,,,,,,
TERM-CM-07,cm-her2-ish-code,HER2 In Situ Hybridization Code,referenced,HER2 ISH or FISH observation identities,LOINC or approved local pathology catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,pathology laboratory and terminology reviewer,"Versioned code list; ISH/FISH scope; amplified/nonamplified fixtures; source-system crosswalk",,,,,,,
TERM-CM-08,cm-breast-surgery-procedure,Breast Surgery,referenced,All in-scope definitive breast surgery procedure identities,SNOMED CT and approved local procedure catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,breast surgery and terminology reviewer,"Versioned expansion; inclusion/exclusion rationale; local crosswalk; case-membership diff",,,,,,,
TERM-CM-09,cm-breast-conserving-surgery-procedure,Breast Conserving Surgery,referenced,Breast-conserving surgery procedure identities,SNOMED CT and approved local procedure catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,breast surgery and terminology reviewer,"Versioned expansion; BCS boundary fixtures; local crosswalk; case-membership diff",,,,,,,
TERM-CM-10,cm-total-mastectomy-procedure,Total Mastectomy,referenced,Total mastectomy procedure identities,SNOMED CT and approved local procedure catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,breast surgery and terminology reviewer,"Versioned expansion; total/partial boundary fixtures; local crosswalk; case-membership diff",,,,,,,
TERM-CM-11,cm-sentinel-lymph-node-biopsy-procedure,Sentinel Lymph Node Biopsy,referenced,Sentinel lymph-node biopsy procedure identities,SNOMED CT and approved local procedure catalogue,pending-owner-confirmation,empty-blocking,pending-human-signoff,breast surgery and terminology reviewer,"Versioned expansion; SLNB/ALND boundary fixtures; local crosswalk; case-membership diff",,,,,,,
